69,'m_generalledgerdetailcustomized','C. General Ledger [Detail Customized]',3,'0','0'
136,'m_hcustomerwisesalesreturndetail','H. Customer Wise Sales Return [Detail]',3,'0','0'
137,'m_icustomerwisesalesreturndetail-small','I. Customer Wise Sales Return [Detail-Small]',3,'0','0'
164,'m_inventory','Inventory',2,'0','0'
111,'m_invoicesummary','H. Sales Invoice [Summary]',3,'0','0'
145,'m_inwardgatepass','A. Inward Gate Pass',3,'0','0'
178,'m_inwardoutwarddetail','A. Inward / Outward [Detail]',3,'0','0'
26,'m_itemcomposition','Item Composition',2,'0','0'
200,'m_itemcomposition1','H. Item Compositions ',3,'0','0'
27,'m_itemgroup','Item Groups',2,'0','0'
199,'m_itemgroups','G. Item Groups',3,'0','0'
25,'m_iteminformation','Item Information',2,'0','0'
173,'m_itemledger','F. Item Ledger',3,'0','0'
198,'m_itemlist','F. Items List',3,'0','0'
53,'m_itemlist0','Item List',2,'0','0'
201,'m_itemratelist','I. Item Rate List',3,'0','0'
176,'m_itemwiseconsumption','H. Item Wise Consumption',3,'0','0'
91,'m_itemwisecosting','T. Item Wise Costing',3,'0','0'
187,'m_itemwiseproduction','H. Item Wise Production',3,'0','0'
162,'m_itemwisepurchasedetail','O. Item Wise Purchase [Detail]',3,'0','0'
122,'m_itemwisesales','P. Item Wise Sales',3,'0','0'
123,'m_itemwisesalesdetail','Q. Item Wise Sales [Detail]',3,'0','0'
124,'m_itemwisesalesreturndetail','R. Item Wise Sales Return [Detail]',3,'0','0'
161,'m_itemwixsepurchase','N. Item Wise Purchase',3,'0','0'
139,'m_jdealerwisesalessummary','J. Dealer Wise Sales [Summary]',3,'0','0'
67,'m_jeneralledger','A. General Ledger',3,'0','0'
78,'m_jeneralvoucher','I. Voucher [Detail]',3,'0','0'
94,'m_journal','Journal',2,'0','0'
38,'m_journaljeneral','General Journal',2,'0','0'
116,'m_kcitywisesalesreturn','L. City Wise Sales Return',3,'0','0'
140,'m_kdealerwisesalesreturnsummary','K. Dealer Wise Sales Return [Summary]',3,'0','0'
141,'m_ldealersalesrcomparision','L. Dealer Sale & SR Comparision',3,'0','0'
191,'m_lists','Lists',2,'0','0'
15,'m_maintain','Maintain',1,'0','0'
165,'m_materialissuenotedetail','A. Material Issue Note [Detail]',3,'0','0'
45,'m_materilaissuenote','Material Issue Note',2,'0','0'
168,'m_minsummary','C. Material Issue Note [Summary]',3,'0','0'
189,'m_monthlyproductiongraph','I. Monthly Production Graph',3,'0','0'
159,'m_monthlypurchasegraph','M. Monthly Purchase Graph',3,'0','0'
120,'m_monthlysalesgraph','O. Monthly Sales Graph',3,'0','0'
119,'m_monthwisesalessummary','N. Month Wise Sales [Summary]',3,'0','0'
142,'m_mpartywisesaleitemsummary','M. Party Wise Sale Item [Summary]',3,'0','0'
143,'m_ncustomerwisepricepolicy','N. Customer Wise Price Policy',3,'0','0'
85,'m_notestotheaccounts','O. Notes To The Accounts',3,'0','0'
18,'m_openingbalance','Opening Balance',2,'0','0'
110,'m_outwardsgatepass','G. OutWards GatePass',3,'0','0'
73,'m_partytrialbalance','E. Party Trial Balance',3,'0','0'
181,'m_partywiseinwardoutward','C. Party Wise Inward Outward',3,'0','0'
126,'m_pendingsaleorderdetail','T. Pending Sale Order [Detail]',3,'0','0'
125,'m_pendingsaleordersummary','S. Pending Sale Order [Summary]',3,'0','0'
