48,'PACKAGES STOCK OUT ',2021-01-26 00:00,'1','USMAN',2021-01-27 10:26:14.314000,'01'
49,'PACKAGES STOCK OUT',2021-01-27 00:00,'1','USMAN',2021-01-28 15:53:58.846000,'01'
50,'PACKAGES STOCK OUT',2021-01-28 00:00,'1','USMAN',2021-01-30 12:51:25.045000,'01'
51,'PACKAGES STOCK OUT',2021-01-30 00:00,'1','USMAN',2021-01-31 10:44:17.214000,'01'
52,'PACKAGES STOCK OUT',2021-01-31 00:00,'1','Waqas',2021-02-01 15:14:51.617000,'01'
53,'PACKAGES STOCK OUT',2021-02-01 00:00,'1','USMAN',2021-02-02 11:40:24.049000,'01'
54,'PACKAGES STOCK OUT',2021-02-03 00:00,'1','USMAN',2021-02-04 15:47:48.369000,'01'
55,'PACKAGES STOCK OUT',2021-02-02 00:00,'1','USMAN',2021-02-06 09:41:33.675000,'01'
56,'PACKAGES STOCK OUT',2021-02-08 00:00,'1','HAMMAD',2021-02-08 09:28:44.416000,'01'
57,'PACKAGES STOCK OUT',2021-02-04 00:00,'1','HAMMAD',2021-02-08 09:47:16.511000,'01'
58,'PACKAGES STOCK OUT',2021-02-07 00:00,'1','USMAN',2021-02-09 09:40:32.345000,'01'
59,'PACKAGES STOCK OUT ',2021-02-08 00:00,'1','USMAN',2021-02-10 15:59:49.551000,'01'
60,'PACKAGES STOCK OUT',2021-02-09 00:00,'1','USMAN',2021-02-10 16:21:20.048000,'01'
61,'PACKAGES STOCK OUT',2021-02-10 00:00,'1','USMAN',2021-02-11 12:17:15.155000,'01'
62,'PACKAGES STOCK OUT ',2021-02-11 00:00,'1','USMAN',2021-02-13 14:59:44.967000,'01'
63,'PACKAGES STOCK OUT',2021-02-13 00:00,'1','HAMMAD',2021-02-14 15:40:09.034000,'01'
64,'PACKAGES STOCK OUT',2021-02-14 00:00,'1','USMAN',2021-02-15 14:02:04.379000,'01'
65,'GOLARCHI STOCK ADJUSTMENT\x0d\x0a21/01/2020',2020-12-31 00:00,'1','USMAN',2021-02-16 17:20:02.837000,'03'
66,'PACKAGES STOCK OUT',2021-02-15 00:00,'1','USMAN',2021-02-17 10:40:44.739000,'01'
67,'PACKAGES STOCK OUT ',2021-02-16 00:00,'1','HAMMAD',2021-02-17 11:03:12.082000,'01'
68,'PACKAGES STOCK OUT',2021-02-17 00:00,'1','USMAN',2021-02-25 10:18:41.369000,'01'
69,'PACKAGES STOCK OUT ',2021-02-18 00:00,'1','USMAN',2021-02-25 10:34:45.919000,'01'
70,'PACKAGES STOCK OUT ',2021-02-20 00:00,'1','USMAN',2021-02-25 10:40:01.289000,'01'
71,'PACKAGES STOCK OUT ',2021-02-21 00:00,'1','USMAN',2021-02-25 10:46:04.224000,'01'
