44,2020-02-04 00:00,'100060','C','HAJI NAZIR AKHTAR GUJRAT','GUJRAT','GUJRAT','1',0,0,'N','Admin',,10044,,,'1'
45,2020-02-04 00:00,'100016','C','SHAFI SONS SOAP FACTORY','SARGODHA ROAD','GUJRAT','1',0,0,'N','Admin',,10045,'ABDUL WAHID AMIN HARIPUR',,'1'
46,2020-02-04 00:00,'100022','C','ASIF IQBAL SINDH','SINDH ','SINDH','1',0,0,'N','Admin',,10046,'DANISH KUMAR OTHAL',,'1'
47,2020-02-04 00:00,'100160','C','ZUBAIR TRADERS BHALWAL',,'BHALWAL','1',0,0,'N','Admin',,10047,,,'1'
48,2020-02-04 00:00,'100022','C','ASIF IQBAL SINDH','SINDH ','SINDH','1',0,0,'N','Admin',,10048,'RIZWAN SB HYDERABAD ',,'1'
49,2020-02-05 00:00,'100060','C','HAJI NAZIR AKHTAR GUJRAT','GUJRAT','GUJRAT','1',0,0,'N','Admin',,10049,,,'1'
50,2020-02-05 00:00,'100166','C','NEW AFZAL DINGA',,'DINGA','1',0,0,'N','Admin',,10050,,,'1'
51,2020-02-08 00:00,'100021','C','KHAWAJA ABDUL HAQ MANDI BAHAUDDIN','MANDI BAHAUDDIN','MANDI BAHAUDDIN','1',0,14000,'N','Admin',,10051,,,'1'
52,2020-02-08 00:00,'100127','C','MALIK YASEEN SHAKARGHAR','SHAKARGHAR','SHAKARGHAR','1',0,0,'N','Admin',,10052,,,'1'
53,2020-02-09 00:00,'100060','C','HAJI NAZIR AKHTAR GUJRAT','GUJRAT','GUJRAT','1',0,0,'N','Admin',,10053,,,'1'
54,2020-02-09 00:00,'100182','C','SARDAR TRADING LHR',,'LAHORE','1',0,0,'N','Admin',,10054,,,'1'
55,2020-02-09 00:00,'100009','C','HABIB TRADERS SIALKOT','SIALKOT','SIALKOT','1',0,0,'N','Admin',,10055,,,'1'
56,2020-02-09 00:00,'100186','C','SARFARAZ TRADERS RAILWAY ROAD',,'GUJRAT','1',0,0,'N','Admin',,10056,,,'1'
57,2020-02-09 00:00,'100060','C','HAJI NAZIR AKHTAR GUJRAT','GUJRAT','GUJRAT','1',0,0,'N','Admin',,10057,,,'1'
58,2020-02-10 00:00,'100022','C','ASIF IQBAL SINDH','SINDH ','SINDH','1',0,0,'N','Admin',,10058,'GOLARCHI',,'1'
59,2020-02-10 00:00,'100022','C','ASIF IQBAL SINDH','SINDH ','SINDH','1',0,0,'N','Admin',,10059,'MATULLI',,'1'
60,2020-02-11 00:00,'100009','C','HABIB TRADERS SIALKOT','SIALKOT','SIALKOT','1',0,0,'N','Admin',,10060,,,'1'
61,2020-02-11 00:00,'100131','C','RAZA KERYANA STORE RAILWAY ROAD','GUJRAT','GUJRAT','1',0,0,'N','Admin',,10061,,,'1'
62,2020-02-11 00:00,'100005','C','LIAQAT KARYANA STORE CHIMO SEHNA','CHIMO SEHNA','CHIMO SEHNA','1',0,0,'N','Admin',,10062,,,'1'
63,2020-02-11 00:00,'100016','C','SHAFI SONS SOAP FACTORY','SARGODHA ROAD','GUJRAT','1',0,0,'N','Admin',,10063,,,'1'
64,2020-02-11 00:00,'100022','C','ASIF IQBAL SINDH','SINDH ','SINDH','1',0,0,'N','Admin',,10064,,,'1'
65,2020-02-12 00:00,'100016','C','SHAFI SONS SOAP FACTORY','SARGODHA ROAD','GUJRAT','1',0,0,'N','Admin',,10065,'kHAN TRADERS QUAIDABAD',,'1'
66,2020-02-12 00:00,'100022','C','ASIF IQBAL SINDH','SINDH ','SINDH','1',0,13000,'N','Admin',,10066,'MIRPUR KHAS',,'1'
67,2020-02-12 00:00,'100199','C','MALIK ASHFAQ SHEIKHUPURA',,'SHEIKHUPURA','1',0,0,'N','Admin',,10067,,,'1'
68,2020-02-12 00:00,'100016','C','SHAFI SONS SOAP FACTORY','SARGODHA ROAD','GUJRAT','1',0,0,'N','Admin',,10068,,,'1'
69,2020-02-12 00:00,'100016','C','SHAFI SONS SOAP FACTORY','SARGODHA ROAD','GUJRAT','1',0,0,'N','Admin',,10069,,,'1'
70,2020-02-12 00:00,'100016','C','SHAFI SONS SOAP FACTORY','SARGODHA ROAD','GUJRAT','1',0,0,'N','Admin',,10070,,,'1'
72,2020-02-13 00:00,'100060','C','HAJI NAZIR AKHTAR GUJRAT','GUJRAT','GUJRAT','1',0,0,'N','Admin',,10072,,,'1'
73,2020-02-13 00:00,'100022','C','ASIF IQBAL SINDH','SINDH ','SINDH','1',0,0,'N','Admin',,10073,'MIRKI LANDI',,'1'
74,2020-02-15 00:00,'100212','C','REYAN TRADERS LODHRAN',,'LODHRAN','1',0,0,'N','Admin',,10074,,,'1'
75,2020-02-15 00:00,'100213','C','IQBAL TRADERS CHISHTIAN',,'CHISHTIAN','1',0,0,'N','Admin',,10075,,,'1'
76,2020-02-15 00:00,'100012','C','SEASON SOAP LAHORE','LAHORE','LAHORE','1',0,0,'N','Admin',,10076,'Mecload Road Lahore',,'1'
77,2020-02-15 00:00,'100098','C','R.A TRADERS GUJRANWALA','GUJRANWALA','GUJRANWALA','1',0,0,'N','Admin',,10077,,,'1'
78,2020-02-15 00:00,'100016','C','SHAFI SONS SOAP FACTORY','SARGODHA ROAD','GUJRAT','1',0,0,'N','Admin',,10078,'Sarwer Sb Chaman',,'1'
79,2020-02-15 00:00,'100127','C','MALIK YASEEN SHAKARGHAR','SHAKARGHAR','SHAKARGHAR','1',0,0,'N','Admin',,10079,,,'1'
80,2020-02-16 00:00,'100022','C','ASIF IQBAL SINDH','SINDH ','SINDH','1',0,0,'N','Admin',,10080,'GHUMBAT',,'1'
81,2020-02-16 00:00,'100215','C','SHIBLY TRADERS LALAMUSA',,'LALAMUSA','1',0,0,'N','Admin',,10081,'LALAMUSA',,'1'
82,2020-02-16 00:00,'100216','C','ZAIN SHAH MANDI BAHUDDIN',,'MANDI BAHUDDIN','1',0,0,'N','Admin',,10082,'MANDI BAHUDDIN',,'1'
83,2020-02-16 00:00,'100035','C','MALIK HABIB SAMBRIYAL','SAMBRIYAL','SAMBRIYAL','1',0,0,'N','Admin',,10083,,,'1'
84,2020-02-16 00:00,'100217','C','NAJUM SHAHEEN SHEIKHUPURA',,'SHEIKHUPURA','1',0,0,'N','Admin',,10084,,,'1'
85,2020-02-17 00:00,'100199','C','MALIK ASHFAQ SHEIKHUPURA',,'SHEIKHUPURA','1',0,0,'N','Admin',,10085,,,'1'
86,2020-02-17 00:00,'100132','C','RAZA KARYANA WAZIRABAD',,'WAZIRABAD','1',0,0,'N','Admin',,10086,,,'1'
87,2020-02-18 00:00,'100022','C','ASIF IQBAL SINDH','SINDH ','SINDH','1',0,0,'N','Admin',,10087,'QASIMABAD ',,'1'
88,2020-02-18 00:00,'100060','C','HAJI NAZIR AKHTAR GUJRAT','GUJRAT','GUJRAT','1',0,0,'N','Admin',,10088,,,'1'
89,2020-02-18 00:00,'100016','C','SHAFI SONS SOAP FACTORY','SARGODHA ROAD','GUJRAT','1',0,0,'N','Admin',,10089,'shakeel zaidi',,'1'
90,2020-02-20 00:00,'100060','C','HAJI NAZIR AKHTAR GUJRAT','GUJRAT','GUJRAT','1',0,0,'N','Admin',,10090,,,'1'
91,2020-02-22 00:00,'100060','C','HAJI NAZIR AKHTAR GUJRAT','GUJRAT','GUJRAT','1',0,0,'N','Admin',,10091,,,'1'
92,2020-02-22 00:00,'100016','C','SHAFI SONS SOAP FACTORY','SARGODHA ROAD','GUJRAT','1',0,0,'N','Admin',,10092,'ASHFAQ SB RAWALPINDI',,'1'
93,2020-02-22 00:00,'100022','C','ASIF IQBAL SINDH','SINDH ','SINDH','1',0,0,'N','Admin',,10093,'JOHI ',,'1'
94,2020-02-22 00:00,'100013','C','SALE IN CASH',,,'0',0,0,'N','Admin',,10094,'LE-3249 ASIF SB',,'1'
95,2020-02-22 00:00,'100222','C','ITEFAQ KERYANA STORE PARIYANWALI',,'PARIYANWALI','1',0,0,'N','Admin',,10095,,,'1'
96,2020-02-23 00:00,'100131','C','RAZA KERYANA STORE RAILWAY ROAD','GUJRAT','GUJRAT','1',0,0,'N','Admin',,10096,,,'1'
97,2020-02-23 00:00,'100224','C','SHAHID SALEEM TRADERS (ZAHIR PEER)',,'THAMA ROAD ZAHIR PEER','1',0,0,'N','Admin',,10097,,,'1'
98,2020-02-23 00:00,'100154','C','NAWAZ LAHORE',,'LAHORE','1',0,0,'N','Admin',,10098,,,'1'
