10001,1,'DT5002','F','LASHKARA DETERGENT NO. 19 800/10',105,0,0
10001,2,'DT5001','F','LASHKARA DETERGENT NO.19 350/24',117,0,0
10001,3,'DT2001','F','TRAIN DETERGENT 350/24',20,0,0
10001,4,'DT2002','F','TRAIN DETERGENT 5KG  BAG',50,0,0
10001,5,'DT8002','F','ARGHAWAN DETERGENT 10KG',456,0,0
10002,1,'DT5002','F','LASHKARA DETERGENT NO. 19 800/10',28,0,0
10002,2,'DT5001','F','LASHKARA DETERGENT NO.19 350/24',36,0,0
10002,3,'DT5003','F','LASHKARA DETERGENT NO.19 55/48',200,0,0
10002,4,'DT6001','F','TRAIN DETERGENT NO. 19 350/24',50,0,0
10002,5,'DT2002','F','TRAIN DETERGENT 5KG  BAG',170,0,0
10002,6,'DT6002','F','TRAIN DETERGENT NO.19 55/48',60,0,0
10002,7,'DT7002','F','RAHIL DETERGENT 10KG',59,0,0
10002,8,'DT8001','F','ARGHAWAN DETERGENT 20KG',1,0,0
10002,9,'DT8002','F','ARGHAWAN DETERGENT 10KG',544,0,0
10003,1,'DT1002','F','LASHKARA DETERGENT 350/24',188,0,0
10003,2,'DT1005','F','LASHKARA DETERGENT 55/72',106,0,0
10003,3,'DT2002','F','TRAIN DETERGENT 5KG  BAG',78,0,0
10003,4,'DT8001','F','ARGHAWAN DETERGENT 20KG',299,0,0
10004,1,'DT1002','F','LASHKARA DETERGENT 350/24',230,0,0
10004,2,'DT1005','F','LASHKARA DETERGENT 55/72',23,0,0
10004,3,'DT1001','F','LASHKARA DETERGENT 55/48',196,0,0
10004,4,'DT2002','F','TRAIN DETERGENT 5KG  BAG',822,0,0
10005,1,'DT1003','F','LASHKARA DETERGENT 4KG /10',14,0,0
10005,2,'DT1002','F','LASHKARA DETERGENT 350/24',250,0,0
10005,3,'DT1005','F','LASHKARA DETERGENT 55/72',149,0,0
10005,4,'DT2002','F','TRAIN DETERGENT 5KG  BAG',2,0,0
10006,1,'DT1003','F','LASHKARA DETERGENT 4KG /10',8,0,0
10006,2,'DT1004','F','LASHKARA DETERGENT 800/10',89,0,0
10006,3,'DT1002','F','LASHKARA DETERGENT 350/24',76,0,0
10006,4,'DT1005','F','LASHKARA DETERGENT 55/72',263,0,0
10006,5,'DT7002','F','RAHIL DETERGENT 10KG',180,0,0
10007,1,'DT1003','F','LASHKARA DETERGENT 4KG /10',14,0,0
10007,2,'DT1004','F','LASHKARA DETERGENT 800/10',116,0,0
10007,3,'DT1002','F','LASHKARA DETERGENT 350/24',128,0,0
10007,4,'DT1005','F','LASHKARA DETERGENT 55/72',80,0,0
10007,5,'DT1001','F','LASHKARA DETERGENT 55/48',201,0,0
10007,6,'DT2003','F','TRAIN DETERGENT 10KG',10,0,0
10007,7,'DT8001','F','ARGHAWAN DETERGENT 20KG',165,0,0
10008,1,'DT1004','F','LASHKARA DETERGENT 800/10',163,0,0
10008,2,'DT1002','F','LASHKARA DETERGENT 350/24',165,0,0
10008,3,'DT1005','F','LASHKARA DETERGENT 55/72',131,0,0
10008,4,'DT1001','F','LASHKARA DETERGENT 55/48',63,0,0
10008,5,'DT1009','F','LASHKARA DETERGENT 120/48',14,0,0
10008,6,'DT2003','F','TRAIN DETERGENT 10KG',2,0,0
10009,1,'DW1001','F','TRAIN DISHWASH 130/72',88,0,0
10009,2,'DW1002','F','TRAIN DISHWASH 260/36',47,0,0
10009,3,'DW4005','F','BRILLO DISHWASH LIQUID 500/12 (GREEN)',58,0,0
10009,4,'DW5001','F','PUNJAB DISHWASH 130/36',484,0,0
10009,5,'DW7002','F','TIGON DISHWASH 230/36',409,0,0
10010,1,'DW1002','F','TRAIN DISHWASH 260/36',400,0,0
10010,2,'DW4005','F','BRILLO DISHWASH LIQUID 500/12 (GREEN)',52,0,0
10011,1,'DW1001','F','TRAIN DISHWASH 130/72',450,0,0
10011,2,'DW1003','F','TRAIN DISHWASH 130/36',115,0,0
10011,3,'DW1002','F','TRAIN DISHWASH 260/36',525,0,0
10011,4,'DW4004','F','BRILLO DISHWASH LIQUID 500/12',65,0,0
10012,1,'DW1002','F','TRAIN DISHWASH 260/36',781,0,0
10012,2,'DW4004','F','BRILLO DISHWASH LIQUID 500/12',60,0,0
10013,1,'DW4004','F','BRILLO DISHWASH LIQUID 500/12',40,0,0
10013,2,'DW2001','F','RING DISHWASH GOLA 130/36',1396,0,0
10014,1,'DW1001','F','TRAIN DISHWASH 130/72',496,0,0
10014,2,'DW2001','F','RING DISHWASH GOLA 130/36',334,0,0
