10001,'BASE POWDER 26 A.D',2024-01-01 00:00,'SF0001','BASE POWDER PLANT 26 AD','S','1','MALI',2024-05-23 10:59:19.766000
10002,'BASE POWDER 29 AD',2024-01-01 00:00,'SF0021','BASE POWDER 29AD','F','1','MALI',2024-05-25 15:44:34.349000
10003,'DETERGENT 14A.D',2024-01-01 00:00,'DT3004','DETERGENT 14A.D','F','1','HAMMAD',2024-05-25 16:05:00.861000
10004,'DETERGENT 10A.D STANDARED',2024-01-01 00:00,'DT3012','DETERGENT 10A.D STANDRED',,'1','HAMMAD',2024-05-25 16:26:39.204000
10005,'DETERGENT 7A.D',2024-01-01 00:00,'DT3002','DETERGENT  7A.D',,'1','HAMMAD',2024-05-25 16:34:47.423000
10006,'DETERGENT 18 A.D',2024-01-01 00:00,'DT3006','DETERGENT 18 A.D',,'1','HAMMAD',2024-05-25 16:43:32.473000
10007,'DETERGENT 13 AD',2024-01-01 00:00,'DT3008','DETERGENT 13 AD',,'1','HAMMAD',2024-05-25 16:52:32.811000
10008,'DETERGENT 10A.D BLUCK',2024-01-01 00:00,'DT3003','DETERGENT  10A.D BLUCK',,'1','HAMMAD',2024-05-25 16:58:45.574000
10009,'DETERGENT 12A.D',2024-01-01 00:00,'DT3007','DETERGENT 12A.D',,'1','HAMMAD',2024-05-25 17:34:37.192000
10010,'UNIMED LOOSE DETERGENT 11 AD',2024-01-01 00:00,'DT3013','UNIMED LOOSE DETERGENT 11 AD',,'1','HAMMAD',2024-05-25 17:39:46.462000
10011,'BACHAT LOOSE DETERGENT 13 AD',2024-01-01 00:00,'DT3014','BACHAT LOOSE DETERGENT 13 AD',,'1','MALI',2024-05-25 17:44:22.318000
10012,'BOXER LOODR DETERGENT 18 AD',2024-01-01 00:00,'DT3015','BOXER LOOSE DETERGENT 18 AD',,'1','MALI',2024-05-25 17:50:15.736000
10013,'DETERGENT 16A.D',2024-01-01 00:00,'DT3005','DETERGENT 16A.D',,'1','MALI',2024-05-25 17:58:01.787000
10014,'DETERGENT 19A.D',2024-01-01 00:00,'DT3011','DETERGENT 19A.D',,'1','MALI',2024-05-25 18:06:33.671000
10015,'BAHAR MANUAL DETERGENT 10 AD',2024-01-01 00:00,'DT3016','BAHAR MANUAL DETERGEN 10 AD',,'1','HAMMAD',2024-05-25 18:10:15.332000
10016,'DISH LIQUID 10 AD',2024-01-01 00:00,'DT3017','DISH LIQUID 10 AD',,'1','HAMMAD',2024-05-25 18:15:05.866000
10017,'DISH LIQUID 14 AD',2024-01-01 00:00,'DT3018','DISH LIQUID 14 AD',,'1','HAMMAD',2024-05-25 18:22:49.140000
10018,'DISH BAR 12 AD',2024-01-01 00:00,'SF0007','DISHWASH BAR 12 AD','S','1','MALI',2024-05-28 20:23:48.607000
10019,'DISHBAR TRAIN QUALITY\x0d\x0a',2024-01-01 00:00,'SF0005','DISHWASH BAR TRAIN QUALITY','S','1','MALI',2024-05-28 20:26:48.366000
10020,'DISH BAR RING QUALITY',2024-08-03 00:00,'SF0004','DISHWASH BAR RING QUALITY','S','1','MALI',2024-05-28 20:29:57.922000
10021,'DISH BAR GOLA QUALITY',2024-07-16 00:00,'SF0003','DISHWASH BAR GOLA QUALITY','S','1','MALI',2024-05-28 20:32:07.215000
10024,'HAPPY LAUNDRY BAR',2024-10-02 00:00,'SF0023','HAPPY LAUNDARY BAR','F','1','MALI',2024-10-02 10:53:22.414000
10026,'Lighter Density Base Powder ',2025-01-01 00:00,'SF0025','LIGHTER DENSITY BASE POWDER',,'1','HAMMAD',2025-06-17 13:25:00.779000
10027,'HAPPY DETERGENT POWDER ',2025-01-01 00:00,'DT3019','HAPPY DETERGENT POWDER','F','1','HAMMAD',2025-06-18 09:40:05.799000
10028,,2025-06-01 00:00,'DT0001','BRILLO DETERGENT 400/12','F','1','HAMMAD',2025-06-18 20:13:44.588000
10029,'HAPPY SALT 1/12',2025-01-01 00:00,'HSALT01','HAPPY SALT 1KG/12','F','1','HAMMAD',2025-07-13 18:54:34.798000
10030,'Humber Detergent Powder - 15 A.D',2025-08-13 00:00,'DT3010','Humber 15 A.D','F','1','MALI',2025-08-13 12:23:19.309000
10031,'SAMARA GOLD DETERGENT 20 A.D',2025-01-01 00:00,'DT3020','DETERGENT 20A.D','F','1','Mudassar',2025-10-12 13:53:31.300000
10032,'Shine Detergent Powder 21-AD, ',2026-01-01 00:00,'DT3023','DETERGENT 21 AD  SHINE','F','1','Mudassar',2026-02-08 11:31:20.781000
10033,'CLEAN DAY 19-A.D',2026-01-01 00:00,'DT3024','CLEAN DAY 19-A.D','F','1','Mudassar',2026-02-08 11:45:28.437000
10034,'PULSE 21-A.D',2026-01-01 00:00,'DT3025','PULSE 21-A.D','F','1','Mudassar',2026-02-08 11:51:32.039000
10035,'POPULER 13 - AD ',2026-01-01 00:00,'DT3026','POPULER 13 - AD ','F','1','Mudassar',2026-02-08 11:56:17.442000
