'ACC','ACCOUNTS DEPT',,'1'
'ADMIN1','ADMIN1',,'1'
'AUTHORIZER','AUTHORIZER','AUTHORIZER','1'
'CASH','CASH ','Cash Dept','1'
'SALEMAN','SALE MANS','ONLY CUSTOMER LEDGER','1'
