548,4,'DW1020','TRAIN DISHWASH 240/18','CRTN',50,528,26400,0,0,26400,,
548,5,'HLB002','HAPPY LAUNDRY BAR 225/24','CRTN',20,0,0,0,0,0,,
548,6,'DTH004','HAPPY DETERGENT 100/60','CRTN',20,2370,47400,0,0,47400,,
548,7,'DT9026','JAGMAG DETERGENT 1000/12 18A.D','CRTN',20,2050,41000,0,0,41000,,
548,8,'DT9027','JAGMAG DETERGENT 500/24 18A.D','CRTN',15,2100,31500,0,0,31500,,
548,9,'DT5009','LASHKARA DETERGENT NO.19 1000/12','PCS',80,1920,153600,0,0,153600,,
548,10,'DT1006','LASHKARA DETERGENT 5KG','BAG',25,550,13750,0,0,13750,,
548,11,'DT2013','TRAIN DETERGENT 5 KG 7A.D','BAG',25,430,10750,0,0,10750,,
548,12,'DT2029','TRAIN DETERGENT 10KG PLANT 7AD + 2TIKKI','BAG',10,720,7200,0,0,7200,,
548,13,'DW1002','TRAIN DISHWASH 110/36','CRTN',2000,550,1100000,0,0,1100000,,
549,1,'DT9026','JAGMAG DETERGENT 1000/12 18A.D','CRTN',10,2842,28420,0,0,28420,,
549,2,'DT9027','JAGMAG DETERGENT 500/24 18A.D','CRTN',15,2842,42630,0,0,42630,,
549,3,'DT9039','JAGMAG DETERGENT 140/48 18A.D','CRTN',15,1686,25290,0,0,25290,,
549,4,'DT9008','JAGMAG DETERGENT 4KG 13A.D','BAG',12,701,8412,0,0,8412,,
549,5,'DTH002','HAPPY DETERGENT 1000/12 ','CRTN',2,4432.428,8864.86,0,0,8864.86,,
549,6,'DTH003','HAPPY DETERGENT 500/24','CRTN',3,4432.428,13297.28,0,0,13297.28,,
549,7,'DTH004','HAPPY DETERGENT 100/60','CRTN',5,2308,11540,0,0,11540,,
549,8,'DW1025','TRAIN DISHWASH 300/24 GOLA','CRTN',15,779,11685,0,0,11685,,
549,9,'DW1015','TRAIN DISHWASH JUMBO 280/24','CRTN',10,779,7790,0,0,7790,,
549,10,'DW1020','TRAIN DISHWASH 240/18','CRTN',20,502,10040,0,0,10040,,
549,11,'DW1002','TRAIN DISHWASH 110/36','CRTN',32,502,16064,0,0,16064,,
549,12,'DT1060','LASHKARA DETERGENT 360/12','CRTN',2,916,1832,0,0,1832,,
549,13,'DT1056','LASHKARA DETERGENT 180/24 ','CRTN',5,935,4675,0,0,4675,,
