10022,4,'PBB004','BOX BOARD 27*23  230 GRAM','KG',78,562,43836,0,0,0,
10022,5,'PBB005','BOX BOARD 32*23 230 GRAM','KG',78,1300,101400,0,0,0,
10023,1,'PBB006','BOX BOARD 34*28  210 GRAM','KG',78,813,63414,0,0,0,
10023,2,'PBB007','BOX BOARD 28*25  210 GRAM','KG',78,616,48048,0,0,0,
10023,3,'PBB008','BOX BOARD 32*26  210 GRAM','KG',78,721,56238,0,0,0,
10023,4,'PBB009','BOX BOARD 19*40  210 GRAM','KG',78,1236,96408,0,0,0,
10023,5,'PBB010','BOX BOARD 35*25  210 GRAM','KG',78,747,58266,0,0,0,
10023,6,'PBB011','BOX BOARD 20*39  210 GRAM','KG',78,888,69264,0,0,0,
10023,7,'PBB012','BOX BOARD 19*39  210 GRAM','KG',78,502,39156,0,0,0,
10023,8,'PBB013','BOX BOARD 19*41  210 GRAM','KG',78,623,48594,0,0,0,
10023,9,'PBB014','BOX BOARD 33.5*24.5  210 GRAM','KG',78,1145,89310,0,0,0,
10023,10,'PBB015','BOX BOARD 22*31  210 GRAM','KG',78,416,32448,0,0,0,
10023,11,'PBB016','BOX BOARD 23*32  210 GRAM','KG',78,469,36582,0,0,0,
10023,12,'PBB017','BOX BOARD 24*34  230 GRAM','PCS',78,775,60450,0,0,0,
10023,13,'PBB018','BOX BOARD 26*23  210 GRAM','KG',78,1102,85956,0,0,0,
10024,1,'RM0005','SODIUM BI CARBONATE','KG',58.8,5000,294000,0,0,0,
10025,1,'RM0002','SODA ASH','KG',53.18,20000,1063600,0,0,0,
10026,1,'RM0007','SALT','KG',5,8750,43750,0,0,0,
10027,1,'RM0004','SULPHONIC ACID','KG',226,22050,4983300,0,0,0,
10028,1,'PB0001','PLASTIC BAGS','KG',258,350,90300,0,0,0,
10029,1,'RM0007','SALT','KG',8,12000,96000,0,0,0,
10030,1,'RM0008','CMC','KG',164,500,82000,0,0,0,
10031,1,'THR001','THREAD FOR BAGS STITCHING','PCS',90,288,25920,0,0,0,
10032,1,'RM0009','GREEN BINTO','KG',5.4,15000,81000,0,0,0,
10033,1,'RM0007','SALT','KG',6.5,11300,73450,0,0,0,
10033,2,'RM0007','SALT','KG',4.2,3700,15540,0,0,0,
10034,1,'RM0003','TELCOM POWDER','KG',8,12110,96880,0,0,0,
10035,1,'RM0002','SODA ASH 50KG','BAG',2659,200,531800,0,0,0,
10036,1,'RM0003','TELCOM POWDER','KG',8,10000,80000,0,0,0,
10037,1,'RM0008','CMC','KG',76,7500,570000,0,0,0,
10038,1,'RM0007','SALT','KG',8,12000,96000,0,0,0,
10039,1,'RM0010','GREEN OIL BAG ','KG',1900,100,190000,0,0,0,
10040,1,'RM0010','GREEN OIL BAG ','KG',1800,150,270000,0,0,0,
10041,1,'RM0002','SODA ASH','KG',53.18,20000,1063600,0,0,0,
10042,1,'RM0011','STARCH','KG',102,100,10200,0,0,0,
10043,1,'MBP001','MARBLE POWDER','KG',1.8,20000,36000,0,0,0,
10044,1,'RM0012','COCO BUTANE','KG',150,2000,300000,0,0,0,
10045,1,'RM0007','SALT','KG',5,1000,5000,0,0,0,
10046,1,'RM0003','TELCOM POWDER','KG',9,12000,108000,0,0,0,
10047,1,'RM0002','SODA ASH 50KG','BAG',2659,200,531800,0,0,0,
10048,1,'RM0007','SALT','KG',4.2,17000,71400,0,0,0,
10049,1,'MBP001','MARBLE POWDER','KG',1.8,10000,18000,0,0,0,
10050,1,'MBP001','MARBLE POWDER','KG',1.8,10000,18000,0,0,0,
10051,1,'RM0004','SULPHONIC ACID','KG',224.4,29670,6657948,0,0,0,
10052,1,'RM0003','TELCOM POWDER','KG',9,9990,89910,0,0,0,
10053,1,'RM0008','CMC','KG',76,625,47500,0,0,0,
10054,1,'RM0011','STARCH','KG',102,500,51000,0,0,0,
10055,1,'RM0013','SODIUM SULPHATE ANHYDROUS','KG',28,46250,1295000,0,0,0,
10056,1,'RM0007','SALT','KG',4.4,13000,57200,0,0,0,
10057,1,'MBP001','MARBLE POWDER','KG',1.8,10000,18000,0,0,0,
10058,1,'PR0004','PAPER REEL SIZE 38','PCS',44,712,31328,0,0,0,
10058,2,'PR0009','PAPER REEL SIZE 29.5','KG',44,550,24200,0,0,0,
10058,3,'pr0004','PAPER REEL SIZE 38','PCS',44,763,33572,0,0,0,
10058,4,'PR0009','PAPER REEL SIZE 29.5','KG',44,567,24948,0,0,0,
10058,5,'PR0004','PAPER REEL SIZE 38','PCS',44,712,31328,0,0,0,
10058,6,'PR0002','PAPER REEL SIZE 19','KG',44,389,17116,0,0,0,
10058,7,'PR0002','PAPER REEL SIZE 19','KG',44,360,15840,0,0,0,
10058,8,'PR0012','PAPER REEL SIZE 28','KG',44,532,23408,0,0,0,
10058,9,'PR0012','PAPER REEL SIZE 28','KG',44,558,24552,0,0,0,
10058,10,'PR0002','PAPER REEL SIZE 19','KG',44,359,15796,0,0,0,
10058,11,'PR0012','PAPER REEL SIZE 28','KG',44,533,23452,0,0,0,
10058,12,'PR0009','PAPER REEL SIZE 29.5','KG',44,573,25212,0,0,0,
10058,13,'PR0017','PAPER REEL SIZE 26','KG',44,511,22484,0,0,0,
10058,14,'PR0009','PAPER REEL SIZE 29.5','KG',44,550,24200,0,0,0,
10058,15,'PR0017','PAPER REEL SIZE 26','KG',44,495,21780,0,0,0,
10059,1,'RM0015','CALCIUM','KG',15,2500,37500,0,0,0,
10060,1,'RM0017','SILICATE','KG',18,1510,27180,0,0,0,
10061,1,'RM0017','SILICATE','KG',18,2396,43128,0,0,0,
10062,1,'RM0017','SILICATE','KG',18,629,11322,0,0,0,
10063,1,'RM0017','SILICATE','KG',18,1817,32706,0,0,0,
