SaCode,SaDate,Status,Remarks,Usercode,DEPTID,Doc
929,2024-05-31 00:00,0,DETERGENT POWDER,Waqas,03,2024-06-04 20:06:00.680000
930,2024-05-31 00:00,0,DISHWASH BAR & LIQUID,Waqas,03,2024-06-05 08:26:13.781000
931,2024-05-31 00:00,0,SOAPS,Mudassar,03,2024-06-05 08:44:36.453000
932,2024-05-31 00:00,0,TOILET CLEANER,Waqas,03,2024-06-05 08:47:23.389000
933,2024-05-31 00:00,0,OIL,Waqas,03,2024-06-05 08:50:03.773000
934,2024-05-31 00:00,0,CORRUGATION ROLL,Mudassar,01,2024-06-05 11:52:56.717000
935,2024-05-31 00:00,0,BOX BOARD,Mudassar,01,2024-06-05 13:53:49.402000
936,2024-05-31 00:00,0,PKS,Mudassar,03,2024-06-06 09:19:59.499000
937,2024-06-06 00:00,0,TRAIN DW RS. 20 (RAP001),HAMMAD,01,2024-06-06 17:51:26.968000
938,2024-06-06 00:00,0,SERVIS PSR010,HAMMAD,03,2024-06-06 18:20:34.031000
939,2024-01-06 00:00,0,MANUAL PACKAGES,HAMMAD,01,2024-06-06 18:40:37.392000
942,2024-06-26 00:00,0,,Waqas,01,2024-06-26 14:25:52.564000
973,2024-10-07 00:00,0,AL FIRDOUS VERMICELLI 1KG (GREEN),USMAN,01,2024-10-30 11:54:40.822000
1023,2024-11-23 00:00,0,INSAAF SALT 600 GM,USMAN,01,2024-12-16 11:06:58.876000
1051,2024-12-22 00:00,0,"SAGA W/P RS. 100, SAGA W/P 1KG\x0d\x0aSAGA W/P RS. 50",HAMMAD,03,2025-01-12 14:38:04.240000
1052,2024-12-31 00:00,0,"VARIOUS GRAVURE JOBS DEC\x0d\x0aPET, LD, CPP, BOPP",HAMMAD,03,2025-01-12 14:55:28.333000
1140,2025-02-24 00:00,0,WOW COMPOUND CHOCLATE,USMAN,01,2025-03-19 12:21:08.960000
1143,2025-03-10 00:00,0,RING SOAP ,USMAN,01,2025-03-25 14:49:30.238000
1166,2025-03-11 00:00,0,JAGMAG DETERGENT ,USMAN,01,2025-04-16 11:50:19.277000
1214,2025-05-22 00:00,0,SKYWASH +JAGMAG,MALI,01,2025-05-26 11:28:21.434000
1215,2025-04-19 00:00,0,NISHAT TEA - 5 KG,MALI,01,2025-05-28 09:44:04.779000
1216,2025-05-21 00:00,0,BLBUL LAUNDRY DETERGENT - RS 50,MALI,01,2025-05-28 10:08:21.524000
1217,2025-05-22 00:00,0,BULBUL LAUNDRY DETERGENT - RS 100\x0d\x0a,MALI,01,2025-05-28 10:49:42.478000
1219,2025-04-30 00:00,0,S3 - GENUINE PARTS - GREEN+RED,MALI,01,2025-06-03 15:40:02.408000
1220,2025-04-30 00:00,0,HAPPY SALT,MALI,01,2025-06-03 16:07:24.933000
1221,2025-04-30 00:00,0,INSAF FOOD,MALI,01,2025-06-03 16:35:10.574000
1222,2025-05-08 00:00,0,YOGURT FULL CREAM 1-KG,MALI,01,2025-06-03 16:44:27.637000
1223,2025-05-12 00:00,0,GN DETERGENT POWDER1KG,MALI,01,2025-06-03 16:54:05.328000
1224,2025-05-12 00:00,0,MIX ITEM,MALI,01,2025-06-03 17:04:44.201000
1225,2025-05-14 00:00,0,RAHIM BANASPATI,MALI,01,2025-06-03 18:42:49.377000
1226,2025-05-15 00:00,0,LASHKARA SOAP (SSS) YELLOW 4 TIKKI,MALI,01,2025-06-03 18:56:32.667000
1227,2025-05-15 00:00,0,DELUXE TURKEY SOAP,MALI,01,2025-06-04 09:32:38.172000
1228,2025-05-17 00:00,0,TRAIN SOAP (SSS) BROWN,MALI,01,2025-06-04 09:44:04.710000
1229,2025-05-18 00:00,0,GN DETERGENT POWDER 500GM,MALI,01,2025-06-04 09:59:21.167000
1230,2025-05-18 00:00,0,AL FIRDOUS VERMICELLI 1KG,MALI,01,2025-06-04 10:17:27.753000
1231,2025-05-25 00:00,0,EDMORE HAIR COLOR CREAM BLACK 45,MALI,01,2025-06-04 10:59:47.506000
1232,2025-05-26 00:00,0,TABASUM SPECIAL CONE MEHNDI,MALI,01,2025-06-04 11:25:28.411000
1233,2025-05-27 00:00,0,INSAF FOOD,MALI,01,2025-06-04 11:35:56.037000
1234,2025-05-12 00:00,0,FOODLEY MIX PICKLES ,MALI,01,2025-06-04 11:49:54.111000
1235,2025-06-02 00:00,0,TRAIN WASING POWDER,MALI,01,2025-06-04 14:57:10.321000
1236,2025-05-27 00:00,0,PETROVA GOLD LE-600 LITHUM 500GM,MALI,01,2025-06-04 15:33:00.711000
1237,2025-05-29 00:00,0,VENUS BEAUTY SOAP- PINK 85GM,MALI,01,2025-06-04 15:48:48.710000
1238,2025-06-02 00:00,0,TURKEY BEAUTY SOAP,MALI,01,2025-06-04 16:38:16.412000
1239,2025-05-28 00:00,0,AL MAZHAR DISHWASH BAR,MALI,01,2025-06-05 11:02:08.687000
1240,2025-05-28 00:00,0,AL MAZHAR DISHWASH LONG BAR ,MALI,01,2025-06-05 11:09:20.892000
1241,2025-06-02 00:00,0,"PAPER REEL ADJUSTMEN 49""",MALI,01,2025-06-11 10:07:50.682000
1242,2025-06-02 00:00,0,BOX BOARD ADJUSTMENT ,MALI,01,2025-06-11 10:42:04.312000
1243,2025-06-11 00:00,0,BOX BOARD ADJUSTMENT ,MALI,01,2025-06-11 12:21:19.970000
1244,2025-06-15 00:00,0,"PAPER REEL 29"" ADJUSTMENT ",MALI,03,2025-06-15 14:39:22.030000
1245,2025-06-12 00:00,0,BOX BOARD  ADJUSTMENT ,MALI,03,2025-06-15 14:40:59.412000
1246,2025-06-04 00:00,0,TABASUM CONE MEHNDI ,MALI,03,2025-06-17 11:32:54.798000
1247,2025-06-04 00:00,0,BAHU SOAP (SMALL),MALI,03,2025-06-18 11:23:55.206000
1248,2025-05-31 00:00,0,CHEETA W/P RS50,MALI,03,2025-06-18 11:41:42.282000
1249,2025-05-15 00:00,0,CURROGATION ,MALI,03,2025-06-18 14:57:41.950000
1250,2025-05-31 00:00,0,SEMI FINISHED,HAMMAD,03,2025-06-18 19:50:43.064000
1251,2025-05-31 00:00,0,CHEETAH W/P 1KG,MALI,03,2025-06-19 15:00:25.584000
1252,2025-05-28 00:00,0,VENUS SOAP (SSS),MALI,03,2025-06-19 15:18:19.511000
1253,2025-06-17 00:00,0,PAPER REEL SIZE 28 ,MALI,03,2025-06-21 14:41:05.384000
1254,2025-06-21 00:00,0,CORRUGATION ADJ 25F,MALI,03,2025-06-21 17:53:25.227000
1255,2025-06-18 00:00,0,PAPERREEL ADJUSTMEMNT ,MALI,03,2025-06-21 18:01:20.376000
1256,2025-06-21 00:00,0,CORRUGATION ROLL ADJUSTMENT ,MALI,03,2025-06-21 18:42:15.251000
1257,2025-06-21 00:00,0,CORRUGATION ROLL ADJUSTMENT ,MALI,03,2025-06-21 18:44:37.164000
1258,2025-06-21 00:00,0,CORRUGATION ROLL ADJUSMTN ,MALI,03,2025-06-21 18:47:18.565000
1259,2025-06-16 00:00,0,BOX BOARD ADJUSTMENT ,HAMMAD,03,2025-06-22 12:28:55.863000
1260,2025-05-31 00:00,0,MONTHLY CLOSING DETERGENT RM - MAY 25,HAMMAD,03,2025-06-22 15:41:54.023000
1261,2025-06-19 00:00,0,PACKAGES PRINTING,MALI,03,2025-06-23 11:15:31.119000
1262,2025-06-21 00:00,0,TURKEY BEAUTY SOAP,MALI,03,2025-06-23 12:57:43.685000
1263,2025-06-21 00:00,0,INSAF FOOD ,MALI,03,2025-06-23 13:07:58.826000
1264,2025-06-29 00:00,0,NISHAT TEA 6GM,MALI,03,2025-06-23 13:11:09.414000
1265,2025-05-13 00:00,0,AL FIRDOUS SALT 800GM,MALI,03,2025-06-23 14:41:14.371000
1266,2025-05-06 00:00,0,DIL PSAND HYBRIDSEED ,MALI,03,2025-06-23 14:50:30.598000
1267,2025-07-01 00:00,0,PBB MONTHLY CLOSING - JUNE 25,MALI,03,2025-07-01 11:33:26.744000
1268,2025-05-30 00:00,0,DW MONTHLY CLOSING - MAY 25,MALI,03,2025-07-01 13:16:50.267000
1269,2025-06-30 00:00,0,MONTHLY CLOSING - JUNE 25,MALI,03,2025-07-01 18:23:47.325000
1270,2025-05-31 00:00,0,SA MAY TOILET CLEANER ,MALI,03,2025-07-02 16:05:00.520000
1271,2025-06-25 00:00,0,TURKEY SOAP +SERVICE +FOODLY PICKLES ,MALI,03,2025-07-03 16:08:46.185000
1272,2025-06-29 00:00,0,NISHAT TEA + ALFIRDOUS VERMI,MALI,03,2025-07-03 16:27:25.845000
1273,2025-06-30 00:00,0,PAPER REELS ALL KIND,HAMMAD,03,2025-07-03 17:48:56.866000
1274,2025-07-01 00:00,0,BOX BOARD ADJUSTMENT ,MALI,03,2025-07-05 12:49:48.782000
1275,2025-07-01 00:00,0,PACKAGES PRINTING ,MALI,03,2025-07-05 14:27:54.082000
1276,2025-07-02 00:00,0,CORRUGATION + PRINTING ADJUT,MALI,03,2025-07-05 16:01:37.691000
1277,2025-06-15 00:00,0,SUBHANI SEED,MALI,03,2025-07-07 09:08:56.786000
1278,2025-06-24 00:00,0,VIP WASH 1 KG,MALI,03,2025-07-07 09:15:06.401000
1279,2025-07-01 00:00,0,GN DETEREGENT + TRAIN ,MALI,03,2025-07-07 13:51:31.133000
1280,2025-07-01 00:00,0,CORRUGATIO ROLL ADJUSTMENT ,MALI,03,2025-07-10 10:24:30.601000
1281,2025-07-03 00:00,0,CARROGAATIOJN & PPAER REEL ADJ,MALI,03,2025-07-10 11:35:56.141000
1282,2025-07-05 00:00,0,CORRUGATION + REEL + BOAX BOARD ADJ,MALI,03,2025-07-10 12:10:52.164000
1283,2025-07-07 00:00,0,CORRUGATION+PRINTING + PAPER & BOAX BOARD ,MALI,03,2025-07-10 13:05:16.748000
1284,2025-07-10 00:00,0,CORRUG +PRINTING +PAPER REEL ,MALI,03,2025-07-10 14:57:06.545000
1285,2025-07-02 00:00,0,RAPER CLEAN SPRING DETERGENT 500GM,MALI,03,2025-07-12 17:57:19.204000
1286,2025-07-02 00:00,0,RAPER CLEAN SPRING DETERGENT 1KG,MALI,03,2025-07-12 18:05:20.996000
1287,2025-07-13 00:00,0,RAVI CROP SUPPLIMENT - 3KG,MALI,03,2025-07-13 11:01:53.808000
1288,2025-06-26 00:00,0,JAGMAG DETERGENT POWDER - 400GM,MALI,03,2025-07-13 11:14:55.593000
1289,2025-05-19 00:00,0,RAHIL DETERGEGNT POWDER - 5KG,MALI,03,2025-07-13 11:41:27.737000
1290,2025-06-26 00:00,0,TRAIN DISHWASH - RS 10,MALI,03,2025-07-13 12:27:10.443000
1291,2025-07-03 00:00,0,PARAS SOAP SPECICAL QUALITY ,MALI,03,2025-07-13 12:33:36.759000
1292,2025-07-03 00:00,0,HAPPY DETERGENT ,MALI,03,2025-07-13 15:16:15.648000
1293,2025-07-01 00:00,0,TURKEY BEAUTY SOAP,MALI,03,2025-07-13 15:21:30.253000
1294,2025-07-09 00:00,0,CORRUGATION ROLL ,MALI,03,2025-07-13 16:18:12.160000
1295,2025-07-10 00:00,0,CORRUGATION +PRINTING + BOX BOAD ADJUSTMENT ,MALI,03,2025-07-13 16:31:43.227000
1296,2025-07-12 00:00,0,CORRUGATION +BOX BOARD + PRINTING AJD,MALI,03,2025-07-13 16:37:51.915000
1297,2025-07-13 00:00,0,STPP & TSP ADJ,HAMMAD,03,2025-07-13 18:47:15.297000
1298,2025-06-30 00:00,0,SALT STONE ADJ,HAMMAD,03,2025-07-13 18:49:23.048000
1299,2025-07-13 00:00,0,CORRUGATION + BOX BOARD + PRINITNG ADJ,HAMMAD,03,2025-07-14 18:42:21.562000
1300,2025-06-30 00:00,0,CORRUGATION ROLL ADJ - JUNE 2025,MALI,03,2025-07-15 15:15:38.962000
1301,2025-07-16 00:00,0,MUSTARD OIL ADJUSTMENT ,MALI,03,2025-07-16 15:51:10.267000
1302,2025-06-01 00:00,0,PUNJAB DISHWASH RS 20,MALI,03,2025-07-17 10:28:17.246000
1303,2025-06-21 00:00,0,TRAIN DISHWASH RS 20,MALI,03,2025-07-17 10:45:17.081000
1304,2025-06-25 00:00,0,JAGMAG DETERGENT 1KG,MALI,03,2025-07-17 12:14:45.081000
1305,2025-04-23 00:00,0,CLEAN DAY D/P  - 1KG,MALI,03,2025-07-19 18:44:45.635000
1306,2025-07-08 00:00,0,LASHKARA D/P 400GM,MALI,03,2025-07-19 18:49:16.589000
1307,2025-07-01 00:00,0,RAPER RING SOAP SPECIAL QUALITY,MALI,03,2025-07-20 10:22:57.031000
1308,2025-07-07 00:00,0,BULBUL LAUNDRY DETERGENT - 3KG,MALI,03,2025-07-21 13:16:38.093000
1309,2025-07-13 00:00,0,LASHKARA DETERGENT 1KG,MALI,03,2025-07-21 13:23:21.929000
1310,2025-07-16 00:00,0,RAPER DELUXE TURKEY BEAUTY SOAP SKY BLUE,MALI,03,2025-07-22 13:51:29.091000
1311,2025-07-05 00:00,0,AL FIRDOUS VERMICELLI  U SHAPE,MALI,03,2025-07-23 14:17:23.351000
1312,2025-07-23 00:00,0,RAPER TOWER DETERGENT - RS 10,MALI,03,2025-07-23 16:04:19.131000
1313,2025-07-19 00:00,0,BLUE LINE SPROCKET DRIVEN SERVIS ,MALI,03,2025-07-24 10:22:24.512000
1314,2025-07-24 00:00,0,POLY BAG CHAIN BL 70CC,MALI,03,2025-07-26 10:13:52.418000
1315,2025-07-24 00:00,0,SERVICE GENUINE PARTS CHAIN ,MALI,03,2025-07-26 10:34:43.053000
1316,2025-07-27 00:00,0,RAPER LASHKARA WASHING POWDER 1KG,MALI,03,2025-07-28 17:07:09.953000
1317,2025-07-27 00:00,0,RAPER ALFIRDOUS COLORED PASTA,MALI,03,2025-07-28 17:11:00.229000
1318,2025-07-23 00:00,0,SERVICE 740*450*335\x0d\x0a,MALI,03,2025-08-06 13:49:11.850000
1319,2025-07-29 00:00,0,TRAIN DETERGENT,MALI,03,2025-08-06 14:34:50.406000
1320,2025-07-29 00:00,0,BAHU SOAP SPECIAL QUALITY,MALI,03,2025-08-06 14:54:57.542000
1321,2025-07-28 00:00,0,BAHU SOAP SMALL\x0d\x0a,MALI,03,2025-08-06 15:33:41.786000
1322,2025-07-28 00:00,0,BAHU SOAP MED,MALI,03,2025-08-06 15:43:51.095000
1323,2025-08-02 00:00,0,LASHKARA WASHING POWDER 400GM,MALI,03,2025-08-06 16:10:39.721000
1324,2025-08-02 00:00,0,SERVIC,MALI,03,2025-08-09 12:20:36.168000
1325,2025-07-30 00:00,0,INSAF FOOD,MALI,03,2025-08-09 12:23:49.167000
1326,2025-07-27 00:00,0,SERVIC,MALI,03,2025-08-09 12:26:12.909000
1327,2025-07-27 00:00,0,TURKEY BEAUTY SOAP,MALI,03,2025-08-09 12:36:24.198000
1328,2025-07-31 00:00,0,STOCK ADJUSTMENT ,MALI,03,2025-08-10 11:32:51.937000
1329,2025-07-31 00:00,0,LASHKARA ADJ JU;Y 25,MALI,03,2025-08-10 14:40:14.590000
1331,2025-08-06 00:00,0,CHEETA DISHWASH BAR RS-20,MALI,03,2025-08-12 15:42:15.089000
1332,2025-08-07 00:00,0,RAPER PARAS SURF W/P 500GM,MALI,03,2025-08-12 16:35:48.753000
1333,2025-08-07 00:00,0,RAPER PARAS SURF W/P RS 50,MALI,03,2025-08-12 16:43:32.549000
1334,2025-08-04 00:00,0,RAPER CHEETA D/W BAR RS 20\x0d\x0a,MALI,03,2025-08-17 13:07:31.102000
1346,2025-11-15 00:00,0,,HAMMAD,03,2026-01-14 11:48:54.094000
