type,group,code,name,opening,current,active,children
Asset,Assets,100148,FAUJI TRADERS KAROR PAKKA,0.0,0.0,False,0
Asset,Assets,100149,NEW ALI TRADERS BAHAWAL NAGAR,0.0,0.0,False,0
Asset,Assets,100150,ZAMAN KERYANA STORE ADA MARLA,0.0,0.0,False,0
Asset,Assets,100151,AL MADINA SUPER STORE PARIANWALI,0.0,0.0,False,0
Asset,Assets,100152,DHUDRA KERYANA STORE MANGOWAL,0.0,0.0,False,0
Asset,Assets,100155,REHMAT TRADERS TANDA,0.0,0.0,False,0
Asset,Assets,100156,HAJI FARMAN TANDA,0.0,0.0,False,0
Asset,Assets,100157,MALIK TRADERS BAREELA SHARIF,0.0,0.0,False,0
Asset,Assets,100160,ZUBAIR TRADERS BHALWAL,0.0,0.0,False,0
Asset,Assets,100161,HAJI AMANAT KERYANA STORE KARIYANWALA,0.0,0.0,False,0
Asset,Assets,100162,SHEIKH SHAHID KERYANA STORE KARIYANWALA,0.0,0.0,False,0
Asset,Assets,100163,MUSLIM TRADERS KARIYANWALA,0.0,0.0,False,0
Asset,Assets,100164,HAJI BAGH ALI KERYANA STORE KARIYANWALA,0.0,0.0,False,0
Asset,Assets,100165,QADRI KERYANA STORE JPS,0.0,0.0,False,0
Asset,Assets,100167,NAZAR HUSSAIN FATEHPUR,0.0,0.0,False,0
Asset,Assets,100168,SHAFI SONS PACKAGES,0.0,0.0,False,0
Asset,Assets,100173,NAVEED AFZAL,0.0,0.0,False,0
Asset,Assets,100174,MIAN ABDUL LATIF,0.0,0.0,False,0
Asset,Assets,100175,J. MART MUNGOWAL,0.0,0.0,False,0
Asset,Assets,100176,CITY TRADERS CHOPALA ADA JPJ,0.0,0.0,False,0
Asset,Assets,100178,MEHAR AFZAL KERYANA STORE JPJ,0.0,0.0,False,0
Asset,Assets,100179,MAJID BUTT SAROKI,0.0,0.0,False,0
Asset,Assets,100183,SALES TAX 17% FROM CUSTOMERS,0.0,0.0,False,0
Asset,Assets,100185,SHANDAR CERAMICS,0.0,0.0,True,0
Asset,Assets,100186,SARFARAZ TRADERS RAILWAY ROAD,0.0,0.0,False,0
Asset,Assets,100187,ELIXIR CERAMICS,0.0,0.0,False,0
Asset,Assets,100189,SHEF SALT (SHEIKH SHAFQAT),0.0,0.0,False,0
Asset,Assets,100190,GHOUSIA FAN (DANIYAL BUTT),0.0,0.0,False,0
Asset,Assets,100191,PLASCO PIPE FACTORY,0.0,0.0,False,0
Asset,Assets,100192,RIAZ TAJ SABZI MANDI JPJ,0.0,0.0,False,0
Asset,Assets,100195,AWAIS TRADERS KARYANWALA,0.0,0.0,False,0
Asset,Assets,100196,KAMRAN KERYANA KARYANWALA,0.0,0.0,False,0
Asset,Assets,100197,BABA G KERYANA RAILWAY ROAD,0.0,0.0,False,0
Asset,Assets,100200,MUHAMMAD SHAFI QADRI MUNGOWAL,0.0,0.0,False,0
Asset,Assets,100201,MUHAMMAD RAFI MUNGOWAL,0.0,0.0,False,0
Asset,Assets,100202,RAMZAN SUPER STORE MUNGOWAL,0.0,0.0,False,0
Asset,Assets,100203,GHOUS TRADERS KARYANWALA,0.0,0.0,False,0
Asset,Assets,100204,MITTHO TRADERS KARYANWALA,0.0,0.0,False,0
Asset,Assets,100205,MEHAR IMRAN TRADERS JPJ,0.0,0.0,False,0
Asset,Assets,100206,TOUSEEF SARAN KARYANWALA,0.0,0.0,False,0
Asset,Assets,100207,ZULFIQAR KERYANA KARYANWALA,0.0,0.0,False,0
Asset,Assets,100208,SHAHZAD KARYANWALA,0.0,0.0,False,0
Asset,Assets,100209,SHEIKH AFZAL TRADERS KARYANWALA,0.0,0.0,False,0
Asset,Assets,100210,HAMAD OMAR TRADERS KARYANWALA,0.0,0.0,False,0
Asset,Assets,100212,REYAN TRADERS LODHRAN,0.0,0.0,False,0
Asset,Assets,100213,IQBAL TRADERS CHISHTIAN,0.0,0.0,False,0
Asset,Assets,100214,GHOUSIA SWEETS SABZI MANDI JPJ,0.0,0.0,False,0
Asset,Assets,100215,SHIBLY TRADERS LALAMUSA,0.0,0.0,False,0
Asset,Assets,100216,ZAIN SHAH MANDI BAHUDDIN,0.0,0.0,False,0
Asset,Assets,100217,NAJUM SHAHEEN SHEIKHUPURA,0.0,0.0,False,0
Asset,Assets,100218,ASHFAQ TRADERS SURKHPUR,0.0,0.0,False,0
Asset,Assets,100219,HAJI KHALID MEHMOOD KERYANA,0.0,0.0,False,0
Asset,Assets,100220,MOHAMMADIYA GHOUSIA TRADERS,0.0,0.0,False,0
Asset,Assets,100221,QAMAR SWEETS KERYANWALA,0.0,0.0,False,0
Asset,Assets,100222,ITTIFAQ KERYANA STORE PARIYANWALI,0.0,0.0,False,0
Asset,Assets,100224,SHAHID SALEEM TRADERS (ZAHIR PEER),0.0,0.0,False,0
Asset,Assets,100225,EHSAN KERYANA & GENERAL STORE JPJ,0.0,0.0,False,0
Asset,Assets,100226,HAJI TARIQ DOLTALA,0.0,0.0,False,0
Asset,Assets,100227,MEHAR ZEESHAN SABZI MANDI JPJ,0.0,0.0,False,0
Asset,Assets,100228,MEHAR QAISER MAIN BAZAR JPJ,0.0,0.0,False,0
Asset,Assets,100230,MALIK TRADERS PARIANWALI,0.0,0.0,False,0
Asset,Assets,100231,SHEIKH EHSAN RAILWAY ROAD,0.0,0.0,False,0
Asset,Assets,100232,MAKKAH TRADERS LALAMUSA,0.0,0.0,False,0
Asset,Assets,100233,SHAHID BROTHERS,0.0,0.0,False,0
Asset,Assets,100234,MOHAMMAD SIDDIQUE KABARIYA,0.0,0.0,False,0
Asset,Assets,100236,ZUBAIR (INSAAF FOODS),0.0,0.0,False,0
Asset,Assets,100237,LUCKY SIALKOT,0.0,0.0,False,0
Asset,Assets,100238,BR TRADERS PINDI BHATTIAN,0.0,0.0,False,0
Asset,Assets,100239,HANI ICE CREAM,0.0,0.0,False,0
Asset,Assets,100240,SAKHI KERYANA KOTLA ARAB,0.0,0.0,False,0
Asset,Assets,100241,HAJI YUSUF GUJRANWALA,0.0,0.0,False,0
Asset,Assets,100242,KHAN TRADERS PHALIA,0.0,0.0,False,0
Asset,Assets,100244,SILK BANK,0.0,0.0,False,0
Asset,Assets,100245,NAEEM KERYANA MUNGOWAL,0.0,0.0,False,0
Asset,Assets,100246,PAVWA SUPER STORE PARIYANWALI,0.0,0.0,False,0
Asset,Assets,100247,UNITED SUPER STORE PARIANWALI,0.0,0.0,False,0
Asset,Assets,100248,CH BROTHERS FAISLABAD,0.0,0.0,False,0
Asset,Assets,100249,A.R TRADERS FAISALABAD,0.0,0.0,False,0
Asset,Assets,100250,AHMED TRADERS PEER MEHAL,0.0,0.0,False,0
Asset,Assets,100252,RAFAQAT TRADERS AWAN SHARIF,0.0,0.0,False,0
Asset,Assets,100253,GHUMMAN TRADERS DHULLANALA,0.0,0.0,False,0
Asset,Assets,100254,MALIK TAYYAB RAILWAY ROAD,0.0,0.0,False,0
Asset,Assets,100255,WAHEED AZAM KERYANA STORE,0.0,0.0,False,0
Asset,Assets,100257,TAHIR & WAQAR KERYANA KARIYANWALA,0.0,0.0,False,0
Asset,Assets,100258,HAFIZ KERYANA KARIYANWALA,0.0,0.0,False,0
Asset,Assets,100259,AL MUSLIM TRADERS KARIYANWALA,0.0,0.0,False,0
Asset,Assets,100260,MOHAMMAD NAWAZ TRADERS KARIYANWALA,0.0,0.0,False,0
Asset,Assets,100261,TAWAKAL TRADERS KARIYANWALA,0.0,0.0,False,0
Asset,Assets,100262,ALI GENERAL STORE LALAMUSA,0.0,0.0,False,0
Asset,Assets,100263,FAISAL KIYANI (FACTORY OPERATOR),0.0,0.0,False,0
Asset,Assets,100265,KAMRAN KERYANA CHAK PINDI,0.0,0.0,False,0
Asset,Assets,100266,ARSLAN TRADERS DHULLANWALA,0.0,0.0,False,0
Asset,Assets,100267,GHOUSIA TRADERS DHULLANWALA,0.0,0.0,False,0
Asset,Assets,100268,GONDAL KERYANA DHULLANWALA,0.0,0.0,False,0
Asset,Assets,100269,SAWAN KERYANA DHULLANWALA,0.0,0.0,False,0
Asset,Assets,100271,SULIMAN TRADERS KERYANWALA,0.0,0.0,False,0
Asset,Assets,100272,HAFIZ SHAHZAD KERYANA KERYANWALA,0.0,0.0,False,0
Asset,Assets,100273,SHAHID ICHRIAN,0.0,0.0,False,0
Asset,Assets,100274,CHOUDHARY KERYANA CHAICHIYAN,0.0,0.0,False,0
Asset,Assets,100275,UZAIR GENERAL STORE CHAICHIYAN,0.0,0.0,False,0
Asset,Assets,100277,IKHLAQ SB,0.0,0.0,False,0
Asset,Assets,100278,MANZOOR TRADERS BAHAWALPUR,0.0,0.0,False,0
Asset,Assets,100279,IFTEKHAR KERYANA LODHRAN,0.0,0.0,False,0
Asset,Assets,100280,ALI ASHRAF,0.0,0.0,False,0
Asset,Assets,100282,LASANI TRADERS KUNJAH,0.0,0.0,False,0
Asset,Assets,100283,ZAFAR BROTHERS FATEHPUR,0.0,0.0,False,0
Asset,Assets,100284,ZAINAB GENERAL STORE,0.0,0.0,False,0
Asset,Assets,100285,ATIF BHAI,0.0,0.0,False,0
Asset,Assets,100286,MUDASSAR BUTT JPJ,0.0,0.0,False,0
Asset,Assets,100287,AL MADINA SUPER STORE CHAICHIYAN,0.0,0.0,False,0
Asset,Assets,100288,SHALIMAR KERYANA DINGA,0.0,0.0,False,0
Asset,Assets,100289,MOHAMMAD SHAFIQ KERYANA DHULANWALA,0.0,0.0,False,0
Asset,Assets,100290,JAMNA TRADERS GUJRAT,0.0,0.0,False,0
Asset,Assets,100291,RANA SWEET GUJRAT,0.0,0.0,False,0
Asset,Assets,100292,REHMANI KERYANA GUJRAT,0.0,0.0,False,0
Asset,Assets,100293,MALIK KERYANA BHAKRANWALI,0.0,0.0,False,0
Asset,Assets,100294,MASHALLAH KERYANA FATEHPUR,0.0,0.0,False,0
Asset,Assets,100295,KHALIL KHIZAR GENERAL STORE FATEHPUR,0.0,0.0,False,0
Asset,Assets,100296,HASHIM KERYANA FATEHPUR,0.0,0.0,False,0
Asset,Assets,100297,KHALID SUPER STORE FATEHPUR,0.0,0.0,False,0
Asset,Assets,100298,HAMMAD IRFAN MAISUM,0.0,0.0,False,0
Asset,Assets,100299,MADNI KERYANA BHAKRANWALI,0.0,0.0,False,0
Asset,Assets,100300,G. MART PARIYANWALI,0.0,0.0,False,0
Asset,Assets,100301,SHAFE GENERAL STORE,0.0,0.0,False,0
Asset,Assets,100302,LAL KHAN KERYANA,0.0,0.0,False,0
Asset,Assets,100303,KOHINOOR KERYANA STORE,0.0,0.0,False,0
Asset,Assets,100304,YOUNAS KERYANA STORE,0.0,0.0,False,0
Asset,Assets,100306,MEHALMI TRADERS SAMUNDRI,0.0,0.0,False,0
Asset,Assets,100307,ABU TALHA TRADERS TANDLA,0.0,0.0,False,0
Asset,Assets,100309,OSAMA TRADERS DINGA,0.0,0.0,False,0
Asset,Assets,100310,REHMAT KERYANA DINGA,0.0,0.0,False,0
Asset,Assets,100311,AMN MARKETING NETWORK,0.0,0.0,False,0
Asset,Assets,100313,NISAR AHMED,0.0,0.0,True,0
Asset,Assets,100315,OLYMPIA CHEMICALS,0.0,0.0,False,0
Asset,Assets,100316,RIZWAN SHEIKH,0.0,0.0,False,0
Asset,Assets,100318,WAQAR ALI,0.0,0.0,False,0
Asset,Assets,100319,AL-SAEED TRADERS,0.0,0.0,False,0
Asset,Assets,100320,DIDDIQUE,0.0,0.0,False,0
Asset,Assets,100321,AZHAR CORPORATION (PVT) LTD,0.0,0.0,False,0
Asset,Assets,100322,KHALID,0.0,0.0,False,0
Asset,Assets,100323,AFZAL KARYANA DINGA,0.0,0.0,False,0
Asset,Assets,100324,FAYYAZ TRADERS,0.0,0.0,False,0
Asset,Assets,100325,SHAHID MULTAN,0.0,0.0,False,0
Asset,Assets,100326,CHOUDHARY KARYANA STORE,0.0,0.0,False,0
Asset,Assets,100327,HAJI NAFEES KARYANA,0.0,0.0,False,0
Asset,Assets,100328,BETA GOL SOAP PACKAGES,0.0,0.0,False,0
Asset,Assets,100329,MALIK WAQAS,0.0,0.0,False,0
Asset,Assets,100330,TUQEER TRADERS,0.0,0.0,False,0
Asset,Assets,100331,SHAFIQUE SB,0.0,0.0,False,0
Asset,Assets,100332,SADAT KARYANA FATHEPUR ROAD,0.0,0.0,False,0
Asset,Assets,100333,ARIF TRADERS KOTLA,0.0,0.0,False,0
Asset,Assets,100334,AL-NADIR GENRAL STORE MASUM,0.0,0.0,False,0
Asset,Assets,100335,SHARJEEL TRADERS BHAKHRANWALI,0.0,0.0,False,0
Asset,Assets,100337,ILYAS & JAVEED KARYANA,0.0,0.0,False,0
Asset,Assets,100339,YOUNAS SWEET,0.0,0.0,False,0
Asset,Assets,100340,HUSSAIN KARYANA DHULLANWALI,0.0,0.0,False,0
Asset,Assets,100341,SHEIKH AFZAL DOLAT NAGGAR,0.0,0.0,False,0
Asset,Assets,100342,BILAL TRADERS,0.0,0.0,False,0
Asset,Assets,100343,ARSHAD BUTT,0.0,0.0,False,0
Asset,Assets,100344,MANUCHAR PAKISTAN,0.0,0.0,True,0
Asset,Assets,100345,AL MAKKAH TRADERS,0.0,0.0,False,0
Asset,Assets,100346,MALIK GULRIAZ,0.0,0.0,False,0
Asset,Assets,100347,G.M.TRADER,0.0,0.0,False,0
Asset,Assets,100348,HASSAN SUPER STORE,0.0,0.0,False,0
Asset,Assets,100349,AL-SAEED KARYANA,0.0,0.0,False,0
Asset,Assets,100350,AL MADINA G.S BHADDHAR,0.0,0.0,False,0
Asset,Assets,100351,AL NOOR KERYANA DOLATNAGAR,0.0,0.0,False,0
Asset,Assets,100352,MACHINERY & EQUIPMENT,0.0,0.0,False,0
Asset,Assets,100353,SHAFIULLAH DARGAI,0.0,0.0,False,0
Asset,Assets,100354,RAFI TRADERS KAMOKI,0.0,0.0,False,0
Asset,Assets,100355,SHEIKH NISAR FAISALABAD,0.0,0.0,False,0
Asset,Assets,100356,BASHIR TRADERS DHULLANWALA,0.0,0.0,False,0
Asset,Assets,100357,AL MADINA TRADERS FATEHPUR,0.0,0.0,False,0
Asset,Assets,100358,AL KARAM GENERAL STORE SABOR,0.0,0.0,False,0
Asset,Assets,100359,AL MADINA TRADERS DOLATNAGAR,0.0,0.0,False,0
Asset,Assets,100360,MALIK TRADERS MANUCHAK,0.0,0.0,False,0
Asset,Assets,100361,CH MUDASSAR WARRIACH JPJ,0.0,0.0,False,0
Asset,Assets,100362,MALIK TRADERS LALAMUSA,0.0,0.0,False,0
Asset,Assets,100363,REHMAT KERYANA MANUCHAK,0.0,0.0,False,0
Asset,Assets,100365,OUT OF CASH,0.0,0.0,False,0
Asset,Assets,100366,REHANIYA TRADERS TANDA,0.0,0.0,False,0
Asset,Assets,100368,AKHTAR JEHLUM,0.0,0.0,False,0
Asset,Assets,100369,AHMED TRADER BHIMBER ROAD,0.0,0.0,False,0
Asset,Assets,100370,CHOUDHARY KERYANA BHIMBER ROAD,0.0,0.0,False,0
Asset,Assets,100371,ADNAN TRADERS DOLAT NAGAR,0.0,0.0,False,0
Asset,Assets,100372,SIALKOTI TRADERS DOLAT NAGAR,0.0,0.0,False,0
Asset,Assets,100373,ALI SUPER STORE DOLAT NAGAR,0.0,0.0,False,0
Asset,Assets,100374,RAZZAQ TRADER BHADDAR,0.0,0.0,False,0
Asset,Assets,100375,BABA JEE KERYANA BHADDAR,0.0,0.0,False,0
Asset,Assets,100377,SALEEM TRADERS KOTLA,0.0,0.0,False,0
Asset,Assets,100378,SMART GENERAL STORE BAANIYAN,0.0,0.0,False,0
Asset,Assets,100379,MUDASSAR BUTT BAKHRANWALI,0.0,0.0,False,0
Asset,Assets,100381,MUHAMMAD SHAFIQUE,0.0,0.0,False,0
Asset,Assets,100383,NAEEM AZAM TIAL FIXER,0.0,0.0,False,0
Asset,Assets,100384,NAEEM TRADERS KOTLA,0.0,0.0,False,0
Asset,Assets,100386,FARMS RECEIVABLES A/C,0.0,0.0,False,0
Asset,Assets,100387,HAJI BASHIR SB (LANDI KOTAL),0.0,0.0,False,0
Asset,Assets,100388,MOHSIN LALAMUSA (PAINT WORK),0.0,0.0,False,0
Asset,Assets,100389,M. TARIQ DULTALA,0.0,0.0,False,0
Asset,Assets,100390,AL HAIDER TRADERS JPJ,0.0,0.0,False,0
Asset,Assets,100391,NADEEM KARYANA,0.0,0.0,False,0
Asset,Assets,100392,ABDULLAH GENERAL STORE,0.0,0.0,False,0
Asset,Assets,100393,DUBAI ISLAMIC BANK,0.0,0.0,False,0
Asset,Assets,100394,GULSHAN SOAP KALASHAHKAKO,0.0,0.0,False,0
Asset,Assets,100395,HAJI AFZAL TRADERS POOCH,0.0,0.0,False,0
Asset,Assets,100396,KHAN TRADERS QUAIDABAD,0.0,0.0,False,0
Asset,Assets,100397,ZUBAIR TRADERS DOTALA,0.0,0.0,False,0
Asset,Assets,100398,SEITH RIZWAN BHERA,0.0,0.0,False,0
Asset,Assets,100399,FATIMA GENERAL STORE,0.0,0.0,False,0
Asset,Assets,100400,BABA GENERAL STORE,0.0,0.0,False,0
Asset,Assets,100401,YOUNAS RADDI PACKAGES,0.0,0.0,False,0
Asset,Assets,100402,AL MADINA KARYANA JPS,0.0,0.0,False,0
Asset,Assets,100404,POPULAR KARYNA DINGA,0.0,0.0,False,0
Asset,Assets,100405,JAAN MUHAMMAD LIYYAH,0.0,0.0,False,0
Asset,Assets,100406,HAJI GHULLAM QADIR LALAMUSA,0.0,0.0,False,0
Asset,Assets,100408,HAMZA TRADERS RAILWAY ROAD GUJRAT,0.0,0.0,False,0
Asset,Assets,100409,QAMAR TRADERS RAILWAY ROAD GUJRAT,0.0,0.0,False,0
Asset,Assets,100410,WALEED TRADERS SHAH JAHANGIR ROAD GUJRAT,0.0,0.0,False,0
Asset,Assets,100411,NADEEM AKHTER LAHORE,0.0,0.0,False,0
Asset,Assets,100413,ABBAS SOAP FACTORY,0.0,0.0,False,0
Asset,Assets,100414,FAYYAZ SB MISC A/C,0.0,0.0,False,0
Asset,Assets,100417,ASHFAQ TRADERS RAWALPINDI,0.0,0.0,True,0
Asset,Assets,100418,SAID RASOOL DANDI DARA,0.0,0.0,False,0
Asset,Assets,100419,CH ASIF KERYANA DANDI DARA,0.0,0.0,False,0
Asset,Assets,100420,ASIF TRADERS SANGREELA,0.0,0.0,False,0
Asset,Assets,100422,ANSAR KERYANA STORE BURNALA,0.0,0.0,False,0
Asset,Assets,100423,ATTAR SUPER STORE MANUCHAK,0.0,0.0,False,0
Asset,Assets,100424,EHTISHAM TRADERS KUNJAH,0.0,0.0,False,0
Asset,Assets,100426,SUZUKI MEHRAN CAR LEH-3957,0.0,0.0,False,0
Asset,Assets,100427,DOCTOR KARYANA BAHIRILLA SHARIF,0.0,0.0,False,0
Asset,Assets,100428,CAR BOOKED TOYOTA TUSCON,0.0,0.0,False,0
Asset,Assets,100430,ARIF TRADERS KARIYANWALA,0.0,0.0,False,0
Asset,Assets,100431,GHULAM NABI KERYANA KARIYWALA,0.0,0.0,False,0
Asset,Assets,100433,SAHE TRADERS MANGOWAL,0.0,0.0,False,0
Asset,Assets,100434,LABAIK KARWANA STORE KARIYWALA,0.0,0.0,False,0
Asset,Assets,100436,ASHFAQ BUTT BAKHRIYANWALI,0.0,0.0,False,0
Asset,Assets,100439,FURNITURE & FIXTURE,0.0,0.0,False,0
Asset,Assets,100440,NADEEM MALIK LALAMUSA,0.0,0.0,False,0
Asset,Assets,100441,IMRAN SAMRAN FATEHPUR,0.0,0.0,False,0
Asset,Assets,100442,AL HAMMAD TRADERS BAGOWAL,0.0,0.0,False,0
Asset,Assets,100443,ZAKARIYA TRADERS KARIYANWALA,0.0,0.0,False,0
Asset,Assets,100444,KHAN TRADERS KARIYANWALA,0.0,0.0,False,0
Asset,Assets,100445,WARIACH TRADERS DULLANWALA,0.0,0.0,False,0
Asset,Assets,100446,DAWOOD TRADERS DINGA,0.0,0.0,False,0
Asset,Assets,100448,HAQ TRADERS CHAKWAL,0.0,0.0,False,0
Asset,Assets,100449,TAHIR GABBA FAISALABAD,0.0,0.0,False,0
Asset,Assets,100450,OLYMPIA PACKAGES,0.0,0.0,False,0
Asset,Assets,100451,HAFIZ KARYANA AIRPORT ROAD,0.0,0.0,False,0
Asset,Assets,100453,AL MADINA G.STORE DULLANWALA,0.0,0.0,False,0
Asset,Assets,100454,HUSSAN K.S SAROKI BRIDGE,0.0,0.0,False,0
Asset,Assets,100457,MALIK TUFAIL BHAREELA SHAREF,0.0,0.0,False,0
Asset,Assets,100459,MAA SHAA ALLAH TRADERS DEWONA MANDI,0.0,0.0,False,0
Asset,Assets,100460,BUTT TRADERS DEWONA MANDI,0.0,0.0,False,0
Asset,Assets,100461,HAIDERIA SHOP DEWONA MANDI,0.0,0.0,False,0
Asset,Assets,100462,BUTT SUPER STORE DEWONA MANDI,0.0,0.0,False,0
Asset,Assets,100463,NADEEM DASKA,0.0,0.0,False,0
Asset,Assets,100464,MAQBOOL KHAN,0.0,0.0,False,0
Asset,Assets,100465,S.B TRADERS,0.0,0.0,False,0
Asset,Assets,100466,ABDULLAH GENERAL STORE KARIYAWALA,0.0,0.0,False,0
Asset,Assets,100468,SHIMLA FOODS GUJRAT,0.0,0.0,False,0
Asset,Assets,100471,MALIK ARSHAD,0.0,0.0,False,0
Asset,Assets,100472,MISC EXPENSE DETERGENT,0.0,0.0,False,0
