10045,'stock issue to Mr. Ali Butt',2020-02-23 00:00,'1','Admin',2020-02-23 08:55:04.912000,'03','04'
10046,'STOCK ISSUE TO FAIR PRICE SHOP',2020-02-23 00:00,'1','Admin',2020-02-23 15:40:24.816000,'03','05'
10047,'Stock Issue to Mr. Ali Butt',2020-02-24 00:00,'1','Admin',2020-02-24 09:00:09.496000,'03','04'
10048,'Stock Issue to Mr. Ali Butt',2020-02-24 00:00,'1','Admin',2020-02-24 09:02:40.036000,'03','04'
10049,'Stock Issue to Mr. Ali Butt',2020-02-24 00:00,'1','Admin',2020-02-24 09:10:00.348000,'03','04'
10050,'STOCK ISSUE TO MR. ALI BUTT',2020-02-26 00:00,'1','Admin',2020-02-26 09:37:19.133000,'03','04'
10051,'Stock Issue to Mr. Ali BUtt',2020-02-27 00:00,'1','Admin',2020-02-27 08:53:52.377000,'03','04'
10052,'Stock issue to Mr. Ali Butt',2020-02-29 00:00,'1','Admin',2020-02-29 09:29:17.500000,'03','04'
10053,'Stock Issue to Mr. Ali Butt',2020-03-01 00:00,'1','Admin',2020-02-29 14:50:21.555000,'03','04'
10054,'Stock issue to Mr. Ali Butt',2020-03-02 00:00,'1','Admin',2020-03-02 08:44:26.687000,'03','04'
10055,'stock issue to mr. Ali Butt',2020-03-02 00:00,'1','Admin',2020-03-02 09:27:06.560000,'03','04'
10056,'stock issue to fair price shop',2020-03-02 00:00,'1','Admin',2020-03-02 11:32:43.361000,'03','05'
10057,'Stock issue to Mr. Ali Butt',2020-03-04 00:00,'1','Admin',2020-03-04 09:16:54.303000,'03','04'
10058,'ATOCK ISSUE TO MR. ALI BUTT',2020-03-05 00:00,'1','Admin',2020-03-05 09:54:26.375000,'03','04'
10059,'stock issue to fair price shop',2020-03-05 00:00,'1','HAMMAD',2020-03-05 16:11:29.832000,'03','05'
10060,'STOCK ISSUE TO MR. ALI BUTT',2020-03-07 00:00,'1','Admin',2020-03-07 09:17:45.473000,'03','04'
10061,'Stock issue to Mr. Ali Butt',2020-03-08 00:00,'1','Admin',2020-03-07 13:53:01.240000,'03','04'
10062,'stock issue to Mr. Ali Butt',2020-03-09 00:00,'1','Admin',2020-03-09 08:54:25.040000,'03','04'
10063,'Stock issue to Mr. Ali Butt',2020-03-10 00:00,'1','Admin',2020-03-10 09:16:31.603000,'03','04'
10064,'Stock issue to Mr. Ali Butt',2020-03-11 00:00,'1','Admin',2020-03-11 09:00:29.025000,'03','04'
10065,'Stock issue to Mr. Ali Butt',2020-03-11 00:00,'1','Admin',2020-03-11 10:28:51.821000,'03','04'
10066,'Stock issue to Mr. Ali Butt',2020-03-12 00:00,'1','Admin',2020-03-12 09:28:30.260000,'03','04'
10067,,2020-03-09 00:00,'1','HAMMAD',2020-03-14 13:26:12.896000,'03','05'
10068,'ADJUSTED ON 14.03.2020',2020-02-25 00:00,,'HAMMAD',2020-03-14 13:40:54.812000,'03','05'
10069,'Stock issue to Mr. Ali Butt',2020-03-15 00:00,'1','Admin',2020-03-15 08:54:39.231000,'03','04'
10071,'ADJUSMENT ENTRY',2020-03-15 00:00,'1','Admin',2020-03-15 10:31:46.167000,'04','03'
10072,'Stock issue to Mr. Ali Butt',2020-03-16 00:00,'1','Admin',2020-03-16 08:59:07.598000,'03','04'
10073,'Stock Issue to Mr. Ali Butt',2020-03-17 00:00,'1','Admin',2020-03-17 09:49:59.895000,'03','04'
10074,'Stock Issue to Mr. Ali Butt',2020-03-18 00:00,'1','Admin',2020-03-18 08:44:47.521000,'03','04'
10075,'Stock issue to Mr. Ali Butt',2020-03-18 00:00,'1','Admin',2020-03-18 09:05:40.375000,'03','04'
10076,'stock issue to fair price shop',2020-03-21 00:00,'1','Admin',2020-03-21 18:18:41.815000,'03','05'
10077,'stock issue to Mr. Ali Butt',2020-03-22 00:00,'1','Admin',2020-03-22 09:34:20.607000,'03','04'
10078,'Stock issue to Ali Butt',2020-03-22 00:00,'1','Admin',2020-03-24 10:47:38.147000,'03','04'
10079,,2020-03-22 00:00,'1','Admin',2020-03-24 10:49:46.782000,'04','03'
10080,'Stock issue to Mr. Ali Butt',2020-03-24 00:00,'1','Admin',2020-03-24 10:51:08.167000,'03','04'
10081,'stock issue to Mr. Ali Butt',2020-03-25 00:00,'1','Admin',2020-03-25 10:00:18.019000,'03','04'
10082,'STOCK ISSUE TO ALI BUTT',2020-04-01 00:00,'1','Admin',2020-04-04 12:39:50.792000,'03','04'
10083,'STOCK ISSUE TO ALI BUTT',2020-04-02 00:00,'1','Admin',2020-04-04 12:41:03.675000,'03','04'
10084,'STOCK ISSUE TO ALI BUTT',2020-04-05 00:00,'1','Admin',2020-04-05 10:19:10.405000,'03','04'
10085,'stock issue to Fair price shop',2020-04-05 00:00,'1','Admin',2020-04-05 15:39:31.753000,'03','05'
10086,'Stock Issue to Mr. Ali Butt',2020-04-06 00:00,'1','Admin',2020-04-06 09:59:11.613000,'03','04'
10087,'Stock issue to Ali Butt',2020-04-07 00:00,'1','Admin',2020-04-07 09:40:45.218000,'03','04'
10088,'STOCK ADJUSTMENT ENTRY',2020-04-07 00:00,'1','Admin',2020-04-07 09:55:41.954000,'03','05'
10089,'stock adjustment entry',2020-04-07 00:00,'1','Admin',2020-04-07 10:17:27.360000,'05','03'
10090,'stock issue',2020-04-07 00:00,'1','Admin',2020-04-07 14:27:20.604000,'03','05'
10091,'Stock issue to Fair price shop',2020-04-08 00:00,'1','Admin',2020-04-08 12:32:22.460000,'03','05'
10092,'Stock issue to Ali Butt',2020-04-08 00:00,'1','Admin',2020-04-08 14:34:42.156000,'03','04'
10093,'STOCK ISSUE TO MR. ALI BUTT',2020-04-09 00:00,'1','Admin',2020-04-11 09:54:37.698000,'03','04'
10094,'STOCK ISSUE TO MR. ALI BUTT',2020-04-11 00:00,'1','Admin',2020-04-11 10:01:31.754000,'03','04'
10095,'Stock Issue to Mr. Ali Butt',2020-04-12 00:00,'1','Admin',2020-04-12 11:07:17.371000,'03','04'
10096,'Stock adjusment entry for Ali Butt',2020-04-12 00:00,'1','Admin',2020-04-12 15:44:57.134000,'04','03'
10097,'Stock adjusment entry for Ali Butt',2020-04-12 00:00,'1','Admin',2020-04-12 15:53:41.201000,'03','04'
10098,'Stock issue to Mr. Ali Butt',2020-04-13 00:00,'1','Admin',2020-04-13 10:04:42.771000,'03','04'
10099,'Stock issue to Mr. Ali Butt',2020-04-14 00:00,'1','Admin',2020-04-14 10:07:13.950000,'03','04'
10100,'Stock Issue to Mr. Ali Butt',2020-04-15 00:00,'1','Admin',2020-04-15 09:46:47.135000,'03','04'
10101,'Stock issue to Mr. Ali Butt',2020-04-16 00:00,'1','Admin',2020-04-16 09:33:35.094000,'03','04'
10102,'Stock issue to Mr. Ali Butt',2020-04-18 00:00,'1','Admin',2020-04-18 09:36:17.266000,'03','04'
10103,'Stock taken back From Ali Stock',2020-04-18 00:00,'1','Admin',2020-04-18 12:44:30.918000,'04','03'
10104,'Stock issue to Fair Price shop',2020-04-18 00:00,'1','Admin',2020-04-18 14:44:57.298000,'03','05'
10105,'Stock Issue to Mr. Ali Butt',2020-04-19 00:00,'1','Admin',2020-04-19 10:03:44.178000,'03','04'
10106,'Stock issue to Mr. Ali Butt',2020-04-20 00:00,'1','Admin',2020-04-20 10:11:37.086000,'03','04'
10107,'Stock issue to Mr. Ali Butt',2020-04-21 00:00,'1','Admin',2020-04-21 10:53:50.566000,'03','04'
10108,'STOCK ISSUE TO FAIR PRICE SHOP',2020-04-21 00:00,'1','Admin',2020-04-21 16:46:55.168000,'03','05'
10109,'Stock issue to Ali Butt',2020-04-22 00:00,'1','Admin',2020-04-22 10:06:42.516000,'03','04'
10110,'Stock issue to Ali Butt',2020-04-22 00:00,'1','Admin',2020-04-22 10:16:21.490000,'03','04'
10111,'STOCK ISSUE TO FAIR PRICE SHOP',2020-04-22 00:00,'1','Admin',2020-04-22 11:04:47.597000,'03','05'
10112,'Stock issue to Ali Butt',2020-04-23 00:00,'1','Admin',2020-04-23 09:50:15.322000,'03','04'
10113,'stock issue to fair price shop',2020-04-23 00:00,'1','Admin',2020-04-23 10:26:06.960000,'03','05'
10114,'STOCK ISSUE TO MR. ALI BUTT',2020-04-25 00:00,'1','Admin',2020-04-25 08:46:35.231000,'03','04'
10115,'STOCK ISSUE TO MR. ALI BUTT',2020-04-25 00:00,'1','Admin',2020-04-25 08:47:55.712000,'03','04'
10116,'Stock issue to Mr. Ali Butt',2020-04-26 00:00,'1','Admin',2020-04-26 08:26:48.941000,'03','04'
10117,'Stock issue to Mr. Ali Butt',2020-04-27 00:00,'1','Admin',2020-04-27 08:39:15.429000,'03','04'
10118,'STOCK ISSUE TO MR. ALI BUTT',2020-04-28 00:00,'1','Admin',2020-04-28 08:57:54.195000,'03','04'
10119,'stock issue to Mr. Ali Butt',2020-04-29 00:00,'1','Admin',2020-04-29 08:29:22.730000,'03','04'
10120,'Stock issue to MR. Ali Butt',2020-04-29 00:00,'1','Admin',2020-04-29 08:51:08.604000,'03','04'
10121,'STOCK ISSUE TO FAIR PRICE SHOP',2020-04-29 00:00,'1','Admin',2020-04-29 14:18:37.251000,'03','05'
10122,'Stock Issue to Mr. Ali Butt',2020-04-30 00:00,'1','Admin',2020-04-30 08:39:42.968000,'03','04'
10123,'STOCK ISSUE TO FAIR PRICE SHOP',2020-04-30 00:00,'1','Admin',2020-04-30 12:36:12.551000,'03','05'
