10022,4,'DT2021','TRAIN DETERGENT PLANT 70/120 10AD',850,3,2550,0,0,0,'BAG',0
10022,5,'DT2022','TRAIN DETERGENT PLANT 450/24 10AD',880,3,2640,0,0,0,'BAG',0
10022,6,'DT2023','TRAIN DETERGENT PLANT 900/12 10AD',880,2,1760,0,0,0,'BAG',0
10022,7,'DT9014','JAGMAG DETERGENT 800/12',1000,.667,667,0,0,0,'BAG',0
10023,1,'DT9002','JAGMAG DETERGENT 850/12',1000,1,1000,0,0,0,'CRTN',0
10023,2,'DT9015','JAGMAG DETERGENT 400/24',1000,1,1000,0,0,0,'BAG',0
10024,1,'PSS235','SAHIL 40 TIKKI C1 P5 LN KHAKI',31,161,4991,0,0,0,'PCS',0
10025,1,'DT9002','JAGMAG DETERGENT 850/12',970,23,22310,0,0,0,'CRTN',0
10025,2,'DT9005','JAGMAG DETERGENT 425/24',970,42,40740,0,0,0,'CRTN',0
10026,1,'DT9014','JAGMAG DETERGENT 800/12',1000,183,183000,0,0,0,'BAG',0
10026,2,'DT9001','JAGMAG DETERGENT 4KG/6',2100,28,58800,0,0,0,'BAG',0
10027,1,'DT1004','LASHKARA DETERGENT 800/10',865,95,82175,0,0,0,'CRTN',0
10027,2,'DT1002','LASHKARA DETERGENT 350/24',900,35,31500,0,0,0,'CRTN',0
10028,1,'DT9002','JAGMAG DETERGENT 850/12',1000,55,55000,0,0,0,'CRTN',0
10028,2,'DT9005','JAGMAG DETERGENT 425/24',1000,55,55000,0,0,0,'CRTN',0
10028,3,'DT9004','JAGMAG DETERGENT 75/120',950,21,19950,0,0,0,'CRTN',0
10029,1,'DT9002','JAGMAG DETERGENT 850/12',880,20,17600,0,0,0,'CRTN',0
10029,2,'DT9005','JAGMAG DETERGENT 425/24',880,4,3520,0,0,0,'CRTN',0
10030,1,'DT9014','JAGMAG DETERGENT 800/12',970,82,79540,0,0,0,'BAG',0
10030,2,'DT9015','JAGMAG DETERGENT 400/24',970,50,48500,0,0,0,'BAG',0
10031,1,'DT9014','JAGMAG DETERGENT 800/12',970,33,32010,0,0,0,'BAG',0
10031,2,'DT9015','JAGMAG DETERGENT 400/24',970,50,48500,0,0,0,'BAG',0
10032,1,'DT9015','JAGMAG DETERGENT 400/24',950,27,25650,0,0,0,'BAG',0
10032,2,'DT9014','JAGMAG DETERGENT 800/12',950,26,24700,0,0,0,'BAG',0
10032,3,'DT9010','JAGMAG DETERGENT 70/120',930,28,26040,0,0,0,'BAG',0
10033,1,'DT9010','JAGMAG DETERGENT 70/120',870,95,82650,0,0,0,'BAG',0
10033,2,'DT9015','JAGMAG DETERGENT 400/24',930,68,63240,0,0,0,'BAG',0
10034,1,'DT0001','BRILLO DETERGENT 800/12',760,2,1520,0,0,0,'BAG',0
10034,2,'DT0004','BRILLO DETERGENT 65/120',700,1,700,0,0,0,'BAG',0
10035,1,'DT9014','JAGMAG DETERGENT 800/12',1000,1,1000,0,0,0,'BAG',0
10035,2,'DT9010','JAGMAG DETERGENT 70/120',950,1,950,0,0,0,'BAG',0
10036,1,'PSS263','JUNGLE NO. 00052 C2 P3 LN',18,1000,18000,0,0,0,'PCS',0
10037,1,'PSS254','TRAIN NO. 116 C2 P3 LN',16,8,128,0,0,0,'PCS',0
10038,1,'DW2003','RING DISHWASH 240/36',445,50,22250,0,0,0,'CRTN',0
10038,2,'DW9002','HAPPY DISHWASH LIQUID 500ML/12 (ORANGE)',1000,8,8000,0,0,0,'CRTN',0
10039,1,'DW9002','HAPPY DISHWASH LIQUID 500ML/12 (ORANGE)',1000,1,1000,0,0,0,'CRTN',0
10039,2,'DT1002','LASHKARA DETERGENT 350/24',900,13,11700,0,0,0,'CRTN',0
10039,3,'DT2025','TRAIN DETERGENT 5 KG T%',350,18,6300,0,0,0,'BAG',0
10039,4,'DW1002','TRAIN DISHWASH 240/36',500,50,25000,0,0,0,'CRTN',0
10039,5,'DW1001','TRAIN DISHWASH 120/72',500,10,5000,0,0,0,'CRTN',0
10040,1,'PSS187','CC SOAP QUETTA NEW C2 P3 LN',23,993,22839,0,0,0,'PCS',0
