'03',1,'DT1001','LASHKARA DETERGENT 55/48',325,464,0,
'03',2,'DT1002','LASHKARA DETERGENT 350/24',900,7,0,
'03',3,'DT1002','LASHKARA DETERGENT 350/24',900,214,0,
'03',4,'DT1003','LASHKARA DETERGENT 4KG /10',3000,19,0,
'03',5,'DT1004','LASHKARA DETERGENT 800/10',900,345,0,
'03',6,'DT1005','LASHKARA DETERGENT 55/72',435,143,0,
'03',7,'DT1006','LASHKARA DETERGENT 5KG',450,26,0,
'03',8,'DT1007','LASHKARA DETERGENT 55/36',230,0,0,
'03',9,'DT1009','LASHKARA DETERGENT 120/48',0,11,0,
'03',10,'DT5001','LASHKARA DETERGENT NO.19 350/24',990,197,0,
'03',11,'DT5002','LASHKARA DETERGENT NO. 19 800/10',930,17,0,
'03',12,'DT7001','RAHIL DETERGENT 800/15',836,233,0,
'03',13,'DT7002','RAHIL DETERGENT 10KG',560,113,0,
'03',14,'DT7003','RAHIL DETERGENT 15KG',976,141,0,
'03',15,'DT7004','RAHIL DETERGENT 20KG',1120,1279,0,
'03',16,'DT8001','ARGHAWAN DETERGENT 20KG',1120,489,0,
'03',17,'DW1001','TRAIN DISHWASH 130/72',520,1392,0,
'03',18,'DW1002','TRAIN DISHWASH 260/36',520,2635,0,
'03',19,'DW1003','TRAIN DISHWASH 130/36',260,1120,0,
'03',20,'DW1004','TRAIN LONG BAR 390/24',520,307,0,
'03',21,'DW1005','TRAIN DISHWASH 420/24',0,233,0,
'03',22,'DW1006','TRAIN DISHWASH NO.5 280/36',0,200,0,
'03',23,'DW1007','TRAIN DISHWASH NO.5 140/36',0,453,0,
'03',24,'DW2001','RING DISHWASH GOLA 130/36',0,3064,0,
'03',25,'DW2002','RING DISHWASH 130/72',0,692,0,
'03',26,'DW2003','RING DISHWASH 260/36',0,439,0,
'03',27,'DW2004','RING DISHWASH GOLA 160/36',0,423,0,
'03',28,'DW2005','RING DISHWASH 130/36',0,8,0,
'03',29,'DW2006','RING DISHWASH 140/36',0,109,0,
'03',30,'DW2007','RING DISHWASH NO.5 140/36 ',0,145,0,
'03',31,'DW5001','PUNJAB DISHWASH 130/36',230,415,0,
'03',32,'DW5002','PUNJAB DISHWASH 260/36',0,987,0,
'03',33,'DW7001','TIGON DISHWASH 110/36',215,1992,0,
'03',34,'DW7002','TIGON DISHWASH 230/36',400,305,0,
'03',35,'DW7003','TIGON DISHWASH 315/24',380,788,0,
'03',36,'PAC001','A.H CUP & SAUCER 6 PIECE RED SMALL BOX C4 P3 LY',0,3926,0,
'03',37,'PAC002','A.H CUP & SAUCER 6 PIECE BLUE SMALL BOX C4 P3 LY',0,4433,0,
'03',38,'PAC003','A.H CUP & SAUCER 6 PIECE BROWN SMALL BOX C4 P3 LY',0,3848,0,
'03',39,'PAC004','A.H CUP & SAUCER 6 PIECE GREEN SMALL BOX C4 P3 LY',0,2393,0,
'03',40,'PAC005','A.H CUP & SAUCER 4 DOZAN MASTER BOX C1 P3 LN',0,2742,0,
'03',41,'PAC012','A.H MUG 6 PIECE KHAKI BOX C1 P3 LN',0,4692,0,
'03',42,'PAC013','A.H MUG 8 DOZAN KHAKI BOX C1 P5 LN',0,184,0,
'03',43,'PAC014','A.H MUG 6 PIECE KHAKI BOX CN P3 LN',0,11093,0,
'03',44,'PAC015','A.H MUG 8 DOZAN KHAKI BOX CN P5 LN',0,627,0,
'03',45,'PAC019','A.H CUP & SAUCER 6 PIECE MEDIUM KHAKI BOX CN P3 LN',0,2973,0,
'03',46,'PAC020','A.H CUP & SAUCER 4 DOZAN MASTER KHAKI BOX CN P3 LN',0,123,0,
'03',47,'PAC021','A.H CUP & SAUCER 6 PIECE LARGE KHAKI BOX CN P3 LN',0,3184,0,
'03',48,'PAC022','A.H CUP & SAUCER 4 DOZAN LARGE KHAKI BOX CN P3 LN',0,390,0,
'03',49,'PAF001','AMIN CEILING SUPER GLAXAY BOX C4 P5 LN',0,987,0,
'03',50,'PAF001','AMIN CEILING SUPER GLAXAY BOX C4 P5 LN',0,57,0,
'03',51,'PAF002','AMIN CEILING ECONOMY BOX C4 P5 LN',0,150,0,
'03',52,'PAF002','AMIN CEILING ECONOMY BOX C4 P5 LN',0,1050,0,
'03',53,'PAF004','AMIN CEILING BLADE SUPER GLAXAY BOX C4 P3 LN',0,1005,0,
'03',54,'PAF005','AMIN CEILING BLADE ECONOMY BOX C4 P3 LN',0,993,0,
'03',55,'PAF006','AMIN CEILING BLADE GLAXAY BOX C4 P3 LN',0,56,0,
'03',56,'PAF007','AMIN PEDISTAL BODY ECONOMY BOX C4 P5 LN',0,62,0,
'03',57,'PAF008','AMIN PEDISTAL ROD ECONOMY BOX C4 P3 LN',0,36,0,
'03',58,'PDF001','DECENT CEILING BODY SHAYAN MODEL BOX C4 P5 LY',0,474,0,
'03',59,'PDF002','DECENT CEILING BODY PASSION MODEL BOX C4 P5 LY',0,1841,0,
'03',60,'PDF003','DECENT CEILING BODY ANTEEK JADEED  BOX C4 P5 LY',0,559,0,
'03',61,'PDF004','DECENT CEILING BODY ANTEEK DECENT BOX C4 P5 LY',0,1872,0,
'03',62,'PDF005','DECENT CEILING BODY DELUX JADEED  BOX C4 P5 LY',0,857,0,
'03',63,'PDF006','DECENT CEILING BODY CRYSTAL BOX C4 P3 LN',0,4,0,
