10014,6,'DW1002','TRAIN DISHWASH 260/36','M',18,'CRTN',
10014,7,'DT9005','JAGMAG DETERGENT 425/24','M',30,'CRTN',
10014,8,'DT9002','JAGMAG DETERGENT 850/12','M',30,'CRTN',
10015,1,'DW1002','TRAIN DISHWASH 260/36','M',5,'CRTN',
10015,2,'DW1001','TRAIN DISHWASH 130/72','M',4,'CRTN',
10015,3,'DT1006','LASHKARA DETERGENT 5KG','M',3,'BAG',
10015,4,'DT1002','LASHKARA DETERGENT 350/24','M',5,'CRTN',
10015,5,'DT1004','LASHKARA DETERGENT 800/10','M',4,'CRTN',
10016,1,'DT1004','LASHKARA DETERGENT 800/10','M',30,'CRTN',
10016,2,'DT1002','LASHKARA DETERGENT 350/24','M',26,'CRTN',
10016,3,'DT1003','LASHKARA DETERGENT 4KG /10','M',5,'CRTN',
10017,1,'DT1006','LASHKARA DETERGENT 5KG','M',10,'BAG',
10018,1,'DT1004','LASHKARA DETERGENT 800/10','M',50,'CRTN',
10018,2,'DT1002','LASHKARA DETERGENT 350/24','M',20,'CRTN',
10018,3,'DW1002','TRAIN DISHWASH 260/36','M',139,'CRTN',
10018,4,'DW1001','TRAIN DISHWASH 130/72','M',46,'CRTN',
10019,1,'DT9008','JAGMAG DETERGENT 4KG','M',4,'BAG',
10020,1,'DT1004','LASHKARA DETERGENT 800/10','M',175,'CRTN',
10020,2,'DT1002','LASHKARA DETERGENT 350/24','M',80,'CRTN',
10020,3,'DT9002','JAGMAG DETERGENT 850/12','M',37,'CRTN',
10020,4,'DW1002','TRAIN DISHWASH 260/36','M',188,'CRTN',
10020,5,'DW1001','TRAIN DISHWASH 130/72','M',50,'CRTN',
10021,1,'DT1004','LASHKARA DETERGENT 800/10','M',105,'CRTN',
10021,2,'DT1002','LASHKARA DETERGENT 350/24','M',35,'CRTN',
10021,3,'DW1002','TRAIN DISHWASH 260/36','M',35,'CRTN',
10021,4,'DT9002','JAGMAG DETERGENT 850/12','M',10,'CRTN',
10022,1,'DW1002','TRAIN DISHWASH 260/36','M',100,'CRTN',
10022,2,'DW1001','TRAIN DISHWASH 130/72','M',50,,
10022,3,'DT1004','LASHKARA DETERGENT 800/10','M',50,'CRTN',
10022,4,'DT1002','LASHKARA DETERGENT 350/24','M',25,'CRTN',
10022,5,'DT9002','JAGMAG DETERGENT 850/12','M',10,'CRTN',
10023,1,'DT1003','LASHKARA DETERGENT 4KG /10','M',10,'CRTN',
10024,1,'DW1002','TRAIN DISHWASH 260/36','M',50,'CRTN',
10024,2,'DW1001','TRAIN DISHWASH 130/72','M',50,,
