10023,2020-01-22 00:00,'200002','V','HORIZON PAPER MILLS','MR. ASHFAQ','HATTAR',0,784134,'1','1','Admin',2020-01-28 09:37:32.795000,,,23,'HATTAR','01','400001','PURCHASE A/C'
10024,2020-01-16 00:00,'200010','V','OLYMPIA CHEMICALS LIMITED ','QAIDABAD','QAIDABAD',0,294000,'1','1','HAMMAD',2020-01-28 09:51:17.340000,,'200*25 bags',24,'QAIDABAD','01','400001','PURCHASE A/C'
10025,2020-01-18 00:00,'200010','V','OLYMPIA CHEMICALS LIMITED ','QAIDABAD','QAIDABAD',0,1063600,'1','1','HAMMAD',2020-01-28 09:52:09.284000,,,25,'QAIDABAD','01','400001','PURCHASE A/C'
10026,2020-01-18 00:00,'200011','V','FIRDOS SALT','LALAMUSA','LALAMUSA',0,43750,'1','1','Admin',2020-01-28 10:19:47.555000,,,26,'LALAMUSA','01','400001','PURCHASE A/C'
10027,2020-01-19 00:00,'200020','V','MANSOOR QUETTA','QUETTA','QUETTA',0,4983300,'1','1','Admin',2020-01-28 10:22:47.667000,,,27,'QUETTA','01','400001','PURCHASE A/C'
10028,2020-01-14 00:00,'200003','V','JUNAID PACKAGES','LAHORE','LAHORE',0,90300,'1','1','Admin',2020-01-28 10:48:37.116000,,,28,'LAHORE','01','400001','PURCHASE A/C'
10029,2020-01-20 00:00,'200016','V','FAMILY FOODS INDUSTRIES ','G.T. ROAD GUJRANWALA','GUJRANWALA',0,96000,'1','1','Admin',2020-01-28 10:50:57.051000,,,29,'GUJRANWALA','01','400001','PURCHASE A/C'
10030,2020-01-18 00:00,'200012','V','AKBARI TRADERS ','AKBARI BUILDING O/S AKBARI GATE LAHORE','LAHORE',0,82000,'1','1','Admin',2020-01-28 11:30:30.668000,,'INVOICE # 26540',30,'LAHORE','01','400001','PURCHASE A/C'
10031,2020-01-17 00:00,'200005','V','SAAD ENTERPRISES THREAD SUPPLIER','LAHORE ','LAHORE',0,25920,'1','1','HAMMAD',2020-01-28 11:34:21.811000,,,31,'LAHORE','01','400001','PURCHASE A/C'
10032,2020-01-27 00:00,'200028','V','CH ABDUL RASHID FAISLABAD','FAISALABAD','FAISALABAD',0,81000,'1','1','HAMMAD',2020-01-28 11:57:03.932000,,,32,'FAISALABAD','01','400001','PURCHASE A/C'
