12284,2022-07-28 00:00,'200089','V','AL HASNAIN PAPER & BOARD MILL GUJRANWALA',,'GUJRANWALA',0,907290,'1','1','HAMMAD',2022-07-30 08:42:52.222000,,'LES-8258',2284,'GUJRANWALA','01','400001','PURCHASE A/C'
12285,2022-07-30 00:00,'200123','V','HI TECH INKS',,,0,579865,'1','1','HAMMAD',2022-07-30 10:28:01.795000,'28 DRUM','LET-4538 (ASAD SHAH)',2285,,'01','400001','PURCHASE A/C'
12286,2022-07-30 00:00,'200146','V','BB CHAMPACK',,,0,1479204,'1','1','Waqas',2022-07-30 11:28:36.878000,,'LET-4538 (ASAD SHAH)',2286,,'01','400001','PURCHASE A/C'
12287,2022-07-30 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,51000,'1','1','HAMMAD',2022-07-30 14:35:03.675000,'MOHSIN (XB-02)',,2287,'DINGA','01','400001','PURCHASE A/C'
12288,2022-07-30 00:00,'200010','V','OLYMPIA CHEMICALS LIMITED ','QAIDABAD','QAIDABAD',0,1896000,'1','1','HAMMAD',2022-07-30 16:51:04.743000,'FAIZ MUHAMMAD (E-8696)',,2288,' GUJRAT','01','400001','PURCHASE A/C'
12289,2022-07-30 00:00,'200080','V','ALTAF PRESS ','NEAR AMIR RICE MILLS, MARI ROAD','KAMOKE',0,940930,'1','1','HAMMAD',2022-07-30 17:01:47.699000,'ASHIQ HUSSAIN (LOT-2656)',,2289,' GUJRAT','01','400001','PURCHASE A/C'
12290,2022-07-30 00:00,'200171','V','ABDUL SAMAD (LEATHER SCRAP)','SERVICE MORH GUJRAT','GUJRAT',0,11520,'1','1','HAMMAD',2022-07-30 17:45:14.849000,'RIKSHA',,2290,'GUJRAT','01','400001','PURCHASE A/C'
12291,2022-07-30 00:00,'200024','V','PEARL GAS (PRIVATE) LIMITED','16-A FIRST FLOOR, SADIQ PLAZA SHARA-E-QUAID E AZAM LAHORE','LAHORE',0,127008,'1','1','Waqas',2022-07-31 08:56:46.044000,,'TTA-144 (ABDULLAH)',2291,'LAHORE','01','400001','PURCHASE A/C'
12292,2022-07-30 00:00,'100545','C','UNI MED SHEIKHUPURA',,'SHEIKHUPURA',0,560000,'1','1','HAMMAD',2022-07-31 09:29:29.302000,,'GTS-576 (RAZA SALEEM)',2292,'SHEIKHUPURA','01','400001','PURCHASE A/C'
12293,2022-07-30 00:00,'200123','V','HI TECH INKS',,,0,189000,'1','1','HAMMAD',2022-07-31 09:42:05.299000,'10 DRUMS EACH DRUM 18 KGS','GTS-576 (RAZA SALEEM)',2293,,'01','400001','PURCHASE A/C'
12294,2022-07-30 00:00,'100168','V','SHAFI SONS PACKAGES',,'GUJRAT',0,138000,'1','1','HAMMAD',2022-07-31 10:05:11.697000,,'GTS-576 (RAZA SALEEM)',2294,,'03','400001','PURCHASE A/C'
12295,2022-07-31 00:00,'100169','V','SHEIKH MEHMOOD SOAP',,,0,12383,'1','1','Waqas',2022-07-31 10:54:40.128000,,'GTS-576 (RAZA SALEEM)',2295,,'01','400001','PURCHASE A/C'
12296,2022-07-31 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,44800,'1','1','HAMMAD',2022-07-31 12:16:20.641000,,'C-8468 (ATIQ AHMED)',2296,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
12297,2022-07-31 00:00,'200141','V','CAPTAIN-PQ CHEMICAL INDUSTRIES (PVT) LTD','SARGODHA ROAD, FAISALABAD','FAISALABAD',0,1013830,'1','1','HAMMAD',2022-07-31 12:24:17.065000,,'FDI-190 (AHSAH)',2297,'FAISALABAD','01','400001','PURCHASE A/C'
12298,2022-07-31 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,89010,'1','1','Waqas',2022-07-31 14:17:17.212000,,'XB-021 (MOHSIN)',2298,'DINGA','01','400001','PURCHASE A/C'
12299,2022-07-31 00:00,'200050','V','MITHO KHAAD ',,,0,65000,'1','1','Waqas',2022-07-31 15:48:29.615000,'25*50KGS  BAGS','YAQOOB',2299,,'01','400001','PURCHASE A/C'
12300,2022-07-31 00:00,'200046','V','A.Z PACKAGES',,,0,66000,'1','1','HAMMAD',2022-08-01 09:46:08.703000,,'LES-5435 (SHAHZAD)',2300,,'01','400001','PURCHASE A/C'
12301,2022-07-31 00:00,'200061','V','SUMMAR DYING',,'LAHORE',0,104000,'1','1','Waqas',2022-08-01 09:55:06.435000,,'LES-5435 (SHAHZAD)',2301,'LAHORE','01','400001','PURCHASE A/C'
12302,2022-07-31 00:00,'200035','V','ALPHA CHEMICALS ',,,0,70400,'1','1','Waqas',2022-08-01 10:06:50.933000,,'LES-5435 (SHAHZAD)',2302,,'01','400001','PURCHASE A/C'
12303,2022-08-01 00:00,'200145','V',' SHAKIR WASTAGE MATERIAL','SERVICE MOR GUJRAT','GUJRAT',0,11250,'1','1','Waqas',2022-08-01 11:18:03.773000,,'GTS-576 (RAZA SALEEM)',2303,'GUJRAT','01','400001','PURCHASE A/C'
12304,2022-08-01 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,42500,'1','1','Waqas',2022-08-01 12:11:06.429000,,'AL-0201 (ZAMAN)',2304,'DINGA','01','400001','PURCHASE A/C'
12305,2022-08-01 00:00,'100169','V','SHEIKH MEHMOOD SOAP',,,0,15158,'1','1','HAMMAD',2022-08-01 16:30:01.518000,,'LES-4535 SHAHZAD',2305,,'01','400001','PURCHASE A/C'
12306,2022-08-01 00:00,'100168','V','SHAFI SONS PACKAGES',,'GUJRAT',0,107500,'1','1','Waqas',2022-08-01 16:31:06.851000,,'LES-5435 SHAHZAD',2306,,'01','400001','PURCHASE A/C'
12307,2022-08-01 00:00,'200142','V','OLYMPIA CHEMICAL LIMITED NO.1',,,4,1,'1','1','HAMMAD',2022-08-01 20:05:58.865000,'200*25KGS','LWC-8898',2307,,'01','400001','PURCHASE A/C'
12308,2022-08-02 00:00,'100169','V','SHEIKH MEHMOOD SOAP',,,0,20748,'1','1','HAMMAD',2022-08-02 11:52:36.184000,,'LES-5435 (SHAHZAD)',2308,,'01','400001','PURCHASE A/C'
12309,2022-08-02 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,39950,'1','1','Waqas',2022-08-02 13:58:34.630000,,'AL-0201 (ZAMAN)',2309,'DINGA','01','400001','PURCHASE A/C'
12310,2022-08-02 00:00,'200089','V','AL HASNAIN PAPER & BOARD MILL GUJRANWALA',,'GUJRANWALA',0,831448,'1','1','HAMMAD',2022-08-02 16:27:53.510000,,'LES-3915 (ALI)',2310,'GUJRANWALA','01','400001','PURCHASE A/C'
12311,2022-08-02 00:00,'200171','V','ABDUL SAMAD (LEATHER SCRAP)','SERVICE MORH GUJRAT','GUJRAT',0,9990,'1','1','Waqas',2022-08-02 18:02:44.144000,,'BASIT ALI',2311,'GUJRAT','01','400001','PURCHASE A/C'
12312,2022-08-03 00:00,'100169','V','SHEIKH MEHMOOD SOAP',,,0,20103,'1','1','HAMMAD',2022-08-03 11:38:29.339000,,'LES-5435 (SHAHZAD)',2312,,'01','400001','PURCHASE A/C'
12313,2022-08-03 00:00,'200024','V','PEARL GAS (PRIVATE) LIMITED','16-A FIRST FLOOR, SADIQ PLAZA SHARA-E-QUAID E AZAM LAHORE','LAHORE',0,272392,'1','1','Waqas',2022-08-03 18:23:55.357000,,'TTA-144 (M.AKBAR)',2313,'LAHORE','01','400001','PURCHASE A/C'
12314,2022-08-04 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,39200,'1','1','Waqas',2022-08-04 09:39:17.444000,,'JT-9456 (ZAKA ULLAH)',2314,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
12315,2022-08-04 00:00,'100169','V','SHEIKH MEHMOOD SOAP',,,0,9406,'1','1','HAMMAD',2022-08-04 11:12:18.669000,,'LES-5435 (SHAHZAD)',2315,,'01','400001','PURCHASE A/C'
12316,2022-08-04 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,57375,'1','1','Waqas',2022-08-04 11:35:46.935000,'135*50 BAGS','XB-021 (MOHSIN)',2316,'DINGA','01','400001','PURCHASE A/C'
12317,2022-08-04 00:00,'200028','V','CH ABDUL RASHID FAISLABAD','FAISALABAD','FAISALABAD',0,104000,'1','1','Waqas',2022-08-04 14:03:46.754000,,'les-76 (M.WASEEM)',2317,'FAISALABAD','01','400001','PURCHASE A/C'
12318,2022-08-04 00:00,'200096','V','FARAS CHEMICALS',,'BHAI PHERO',2.9,.1,'1','1','HAMMAD',2022-08-04 14:45:25.667000,,'TTB-954 (JAVED ALI)',2318,'BHAI PHERO','01','400001','PURCHASE A/C'
12319,2022-08-04 00:00,'200171','V','ABDUL SAMAD (LEATHER SCRAP)','SERVICE MORH GUJRAT','GUJRAT',0,8550,'1','1','Waqas',2022-08-04 18:15:14.635000,,'BASIT ALI',2319,'GUJRAT','01','400001','PURCHASE A/C'
12320,2022-08-04 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,42500,'1','1','Waqas',2022-08-06 08:57:26.172000,,'al-0201 (zaman)',2320,'DINGA','01','400001','PURCHASE A/C'
12321,2022-08-06 00:00,'200173','V','MEER JAN KHAN (WOOD SUPPLIER)','CHAKORI GUJJART',,0,131100,'1','1','Waqas',2022-08-06 10:11:46.207000,,'MEER KHAN',2321,,'01','400001','PURCHASE A/C'
12322,2022-08-06 00:00,'200174','V','BIN RASHEED COLORS & CHEMICALS COMPANY','10- ABBOT ROAD LAHORE','LAHORE',0,218250,'1','1','Waqas',2022-08-06 11:38:55.646000,'12*25KGS  DRUMS','LES-5435 (SHAHZAD)',2322,'LAHORE','01','400001','PURCHASE A/C'
12323,2022-08-06 00:00,'200146','V','BB CHAMPACK',,,0,519771,'1','1','HAMMAD',2022-08-06 11:45:04.883000,,'LES-5435 (SHAHZAD)',2323,,'01','400001','PURCHASE A/C'
12324,2022-08-06 00:00,'100344','V','MANUCHAR PAKISTAN',,,0,2111822,'1','1','HAMMAD',2022-08-06 16:02:24.820000,,'JW-1815 (M.FAROOQ)',2324,,'01','400001','PURCHASE A/C'
12325,2022-08-06 00:00,'200024','V','PEARL GAS (PRIVATE) LIMITED','16-A FIRST FLOOR, SADIQ PLAZA SHARA-E-QUAID E AZAM LAHORE','LAHORE',0,265582,'1','1','Waqas',2022-08-06 21:02:34.051000,,'IFS INVOICE',2325,'LAHORE','01','400001','PURCHASE A/C'
12326,2022-08-06 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,54825,'1','1','Waqas',2022-08-07 08:54:21.496000,'126*50KGS BAGS','XB-021 (MOHSIN)',2326,'DINGA','01','400001','PURCHASE A/C'
12327,2022-08-07 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,52100,'1','1','Waqas',2022-08-07 18:17:49.895000,'100*50KG GRANUELS 30*50KG POWDER',,2327,'DINGA','01','400001','PURCHASE A/C'
12328,2022-08-07 00:00,'100344','V','MANUCHAR PAKISTAN',,,0,3182400,'1','1','HAMMAD',2022-08-07 18:51:47.894000,,'TLY-293 (M.BILAL)',2328,,'01','400001','PURCHASE A/C'
12329,2022-08-08 00:00,'100169','V','SHEIKH MEHMOOD SOAP',,,0,7220,'1','1','HAMMAD',2022-08-08 14:53:29.835000,'10*35KGS DRUM','GTS-576 (RAZA SALEEM)',2329,,'01','400001','PURCHASE A/C'
12330,2022-08-08 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,42500,'1','1','Waqas',2022-08-08 15:27:27.136000,,'AL-0201 (ZAMAN)',2330,'DINGA','01','400001','PURCHASE A/C'
12331,2022-08-08 00:00,'100168','V','SHAFI SONS PACKAGES',,'GUJRAT',0,16450,'1','1','HAMMAD',2022-08-08 16:35:30.395000,,'YAHYA SB',2331,,'01','400001','PURCHASE A/C'
12332,2022-08-10 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,42500,'1','1','Waqas',2022-08-10 14:32:05.142000,,'AL-0201  (ZAMAN)',2332,'DINGA','01','400001','PURCHASE A/C'
12333,2022-08-10 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,42373,'1','1','Waqas',2022-08-11 08:53:57.198000,'100 BAGS','AL-0201 (M.ZAMAN)',2333,'DINGA','01','400001','PURCHASE A/C'
12334,2022-08-10 00:00,'100168','V','SHAFI SONS PACKAGES',,'GUJRAT',0,595500,'1','1','Waqas',2022-08-11 09:03:21.466000,,'LET-4538 (ASAD SHAH)',2334,,'01','400001','PURCHASE A/C'
12335,2022-08-11 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,50400,'1','1','HAMMAD',2022-08-11 18:05:26.506000,,,2335,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
12336,2022-08-11 00:00,'200099','V','ABDUL REHMAN  KHAN GRINDING',,'ABBOTABAD',0,475800,'1','1','HAMMAD',2022-08-11 18:07:15.457000,,,2336,'ABBOTABAD','01','400001','PURCHASE A/C'
12337,2022-08-11 00:00,'200167','V','SHAMOON ZAKI KARACHI',,'KARACHI',0,252600,'1','1','HAMMAD',2022-08-13 09:34:50.736000,'113.5 KGS','LET-5435 (SHAHZAD)',2337,'KARACHI','01','400001','PURCHASE A/C'
12338,2022-08-11 00:00,'100364','C','BRAND SMITH (PVT) LTD',,'LAHORE',5.99,.01,'1','1','Waqas',2022-08-13 10:11:09.218000,,'LES-5435 (SHAHZAD)',2338,'LAHORE','01','400001','PURCHASE A/C'
12339,2022-08-13 00:00,'200142','V','OLYMPIA CHEMICAL LIMITED NO.1',,,3,201000,'1','1','HAMMAD',2022-08-13 12:17:32.509000,,,2339,,'01','400001','PURCHASE A/C'
12340,2022-08-13 00:00,'100036','V','SAIF BROTHERS RAILWAY ROAD GUJRAT','GUJRAT','GUJRAT',0,2,'1','1','HAMMAD',2022-08-13 12:40:38.686000,,'GTS-576 (RAZA SALEEM)',2340,,'01','400001','PURCHASE A/C'
12341,2022-08-13 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,40758,'1','1','Waqas',2022-08-13 17:58:17.801000,'96 BAGS','AL-0201 (M.ZAMAN)',2341,'DINGA','01','400001','PURCHASE A/C'
12342,2022-08-15 00:00,'200089','V','AL HASNAIN PAPER & BOARD MILL GUJRANWALA',,'GUJRANWALA',0,917608,'1','1','HAMMAD',2022-08-15 09:57:20.217000,,'LES-6931 (JAMSHED)',2342,'GUJRANWALA','01','400001','PURCHASE A/C'
12343,2022-08-15 00:00,'200168','V','AMANULLAH SB','DITAWAL. GUJRAT',,0,102848,'1','1','Waqas',2022-08-15 11:07:06.734000,,'NOOR KHAN',2343,,'01','400001','PURCHASE A/C'
12344,2022-08-15 00:00,'200168','V','AMANULLAH SB','DITAWAL. GUJRAT',,0,26460,'1','1','Waqas',2022-08-15 11:09:38.241000,,'JANGHER KHAN (STL-103)',2344,,'01','400001','PURCHASE A/C'
12345,2022-08-15 00:00,'200171','V','ABDUL SAMAD (LEATHER SCRAP)','SERVICE MORH GUJRAT','GUJRAT',5,8500,'1','1','Waqas',2022-08-15 12:00:30.574000,,'ABDUL SAMMAD',2345,'GUJRAT','01','400001','PURCHASE A/C'
12346,2022-08-15 00:00,'200171','V','ABDUL SAMAD (LEATHER SCRAP)','SERVICE MORH GUJRAT','GUJRAT',0,10935,'1','1','Waqas',2022-08-15 15:27:28.376000,,'ABDUL SAMMAD ',2346,'GUJRAT','01','400001','PURCHASE A/C'
12347,2022-08-15 00:00,'200010','V','OLYMPIA CHEMICALS LIMITED ','QAIDABAD','QAIDABAD',0,2886000,'1','1','HAMMAD',2022-08-15 15:33:20.453000,'SBC 400*25KGS, SODA ASH 400*50KGS','TLB-280 ',2347,'QAIDABAD','01','400001','PURCHASE A/C'
12348,2022-08-15 00:00,'200010','V','OLYMPIA CHEMICALS LIMITED ','QAIDABAD','QAIDABAD',0,972000,'1','1','HAMMAD',2022-08-15 16:26:45.214000,,'KBA-2691 (M.AYOOB)',2348,'QAIDABAD','01','400001','PURCHASE A/C'
12349,2022-08-16 00:00,'200171','V','ABDUL SAMAD (LEATHER SCRAP)','SERVICE MORH GUJRAT','GUJRAT',0,10620,'1','1','HAMMAD',2022-08-16 11:54:10.866000,,,2349,,'01','400001','PURCHASE A/C'
12350,2022-08-16 00:00,'200010','V','OLYMPIA CHEMICALS LIMITED ','QAIDABAD','QAIDABAD',0,948000,'1','1','HAMMAD',2022-08-16 12:25:38.465000,'AHMED SHER C-8060\x0d\x0a',,2350,'QAIDABAD','01','400001','PURCHASE A/C'
12351,2022-08-16 00:00,'200119','V','SCAN WORLD FAISALABAD',,'FAISALABAD',11.99,.01,'1','1','Waqas',2022-08-16 16:21:53.167000,,'GTS-576 (RAZA SALEEM)',2351,'FAISALABAD','01','400001','PURCHASE A/C'
12352,2022-08-16 00:00,'200161','V','HOUSE OF BOPP',,,0,288403,'1','1','HAMMAD',2022-08-16 17:12:50.414000,,'LES-5435 (SHAHZAD)',2352,,'01','400001','PURCHASE A/C'
12353,2022-08-16 00:00,'200019','V','NAEEM PACKAGES','JALIL CENTER 231 CIRCULAR ROAD OUTSIDE BHATTI GATE ','LAHORE',0,39128,'1','1','HAMMAD',2022-08-16 17:17:10.825000,,'LES-5435 (SHAHZAD)',2353,'LAHORE','01','400001','PURCHASE A/C'
12354,2022-08-16 00:00,'200010','V','OLYMPIA CHEMICALS LIMITED ','QAIDABAD','QAIDABAD',0,404200,'1','1','Waqas',2022-08-16 17:22:59.798000,,'LES-5435 (SHAHZAD)',2354,'QAIDABAD','01','400001','PURCHASE A/C'
12355,2022-08-16 00:00,'200089','V','AL HASNAIN PAPER & BOARD MILL GUJRANWALA',,'GUJRANWALA',0,947140,'1','1','HAMMAD',2022-08-17 08:54:05.140000,,'LES-7371 (TANVEER)',2355,'GUJRANWALA','01','400001','PURCHASE A/C'
12356,2022-08-16 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,42500,'1','1','Waqas',2022-08-17 08:57:22.979000,,'AL-0201 (ZAMAN)',2356,'DINGA','01','400001','PURCHASE A/C'
12357,2022-08-16 00:00,'200024','V','PEARL GAS (PRIVATE) LIMITED','16-A FIRST FLOOR, SADIQ PLAZA SHARA-E-QUAID E AZAM LAHORE','LAHORE',0,260651,'1','1','Waqas',2022-08-17 09:11:56.721000,,'TTC-638 (MUDASSAR)',2357,'LAHORE','01','400001','PURCHASE A/C'
12358,2022-08-17 00:00,'200171','V','ABDUL SAMAD (LEATHER SCRAP)','SERVICE MORH GUJRAT','GUJRAT',0,9990,'1','1','Waqas',2022-08-17 10:31:01.438000,,'ZAI ULLAH',2358,'GUJRAT','01','400001','PURCHASE A/C'
12359,2022-08-17 00:00,'200050','V','MITHO KHAAD ',,,0,67500,'1','1','Waqas',2022-08-17 11:38:37.695000,,'SHAFAQAT',2359,,'01','400001','PURCHASE A/C'
12360,2022-08-17 00:00,'200089','V','AL HASNAIN PAPER & BOARD MILL GUJRANWALA',,'GUJRANWALA',0,950728,'1','1','HAMMAD',2022-08-17 16:08:57.168000,,'LZJ-6204 (SHAHBAZ)',2360,'GUJRANWALA','01','400001','PURCHASE A/C'
12361,2022-08-17 00:00,'200096','V','FARAS CHEMICALS',,'BHAI PHERO',0,11831616,'1','1','HAMMAD',2022-08-17 16:58:35.260000,,'TTB-059 (FAZAL)',2361,'BHAI PHERO','01','400001','PURCHASE A/C'
12362,2022-08-17 00:00,'200092','V','PARACHA CHEMICALS FAISALABAD',,' FAISALABAD',0,1441434,'1','1','HAMMAD',2022-08-17 20:25:55.621000,,'P-7422 (M.IJAZ)',2362,' FAISALABAD','01','400001','PURCHASE A/C'
12363,2022-08-18 00:00,'200049','V','PUNJAB PACKAGES LHR',,'LAHORE',0,1065780,'1','1','HAMMAD',2022-08-18 10:04:08.404000,,'LXR-1210 (SAIF)',2363,'LAHORE','01','400001','PURCHASE A/C'
12364,2022-08-13 00:00,'200023','V','NEW MADINA COLOR COMPANY','C-53 O/S AKBARI GATE CIRCULAR ROAD LAHORE','LAHORE',0,232750,'1','1','HAMMAD',2022-08-18 10:24:24.406000,,'GTS-576 (RAZA SALEEM)',2364,'LAHORE','01','400001','PURCHASE A/C'
12365,2022-08-18 00:00,'200171','V','ABDUL SAMAD (LEATHER SCRAP)','SERVICE MORH GUJRAT','GUJRAT',0,8280,'1','1','Waqas',2022-08-18 11:13:05.620000,,'ZIAULLAH',2365,'GUJRAT','01','400001','PURCHASE A/C'
12366,2022-08-18 00:00,'200171','V','ABDUL SAMAD (LEATHER SCRAP)','SERVICE MORH GUJRAT','GUJRAT',0,10440,'1','1','Waqas',2022-08-18 16:00:31.200000,,'ZIAULLAH',2366,'GUJRAT','01','400001','PURCHASE A/C'
12367,2022-08-18 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,54825,'1','1','Waqas',2022-08-18 16:18:30.739000,'129 BAGS 50KGS ','XB-021 (M.MOHSIN)',2367,'DINGA','01','400001','PURCHASE A/C'
12368,2022-08-20 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,84000,'1','1','Waqas',2022-08-20 14:33:40.258000,,'LES-9067 (M.NASIR)',2368,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
12369,2022-08-20 00:00,'200065','V','ICI PAKISTAN LTD',,,0,1580000,'1','1','HAMMAD',2022-08-20 18:50:04.614000,'400 BAGS 50KGS','Z-3396 (M.AKRAM)',2369,,'01','400001','PURCHASE A/C'
12370,2022-08-20 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,72250,'1','1','Waqas',2022-08-20 18:52:41.831000,,'XB-021 (M.MOHSIN)',2370,'DINGA','01','400001','PURCHASE A/C'
12371,2022-08-20 00:00,'200024','V','PEARL GAS (PRIVATE) LIMITED','16-A FIRST FLOOR, SADIQ PLAZA SHARA-E-QUAID E AZAM LAHORE','LAHORE',0,336556,'1','1','Waqas',2022-08-20 22:36:13.721000,,'TTA-144 (AMIR)',2371,'LAHORE','01','400001','PURCHASE A/C'
12372,2022-08-21 00:00,'200065','V','ICI PAKISTAN LTD',,,0,897440,'1','1','HAMMAD',2022-08-21 11:17:39.013000,,'CA-4245 (FAKHAR)',2372,,'01','400001','PURCHASE A/C'
12373,2022-08-15 00:00,'100168','V','SHAFI SONS PACKAGES',,'GUJRAT',0,1024775,'1','1','Waqas',2022-08-21 15:35:12.583000,,,2373,,'01','400001','PURCHASE A/C'
12374,2022-08-21 00:00,'200089','V','AL HASNAIN PAPER & BOARD MILL GUJRANWALA',,'GUJRANWALA',0,831036,'1','1','HAMMAD',2022-08-21 16:02:48.682000,,'LRC-5790 (SOHAIL)',2374,'GUJRANWALA','01','400001','PURCHASE A/C'
12375,2022-08-21 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,74340,'1','1','Waqas',2022-08-21 18:51:42.526000,,'XB-021 (MOHSIN)',2375,'DINGA','01','400001','PURCHASE A/C'
12376,2022-08-22 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,42500,'1','1','Waqas',2022-08-22 21:13:57.668000,,'AL-021',2376,'DINGA','01','400001','PURCHASE A/C'
12377,2022-08-22 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,47600,'1','1','HAMMAD',2022-08-23 00:33:25.358000,,'LES-9096 (MUSTAQ)',2377,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
12378,2022-08-23 00:00,'200019','V','NAEEM PACKAGES','JALIL CENTER 231 CIRCULAR ROAD OUTSIDE BHATTI GATE ','LAHORE',0,92824,'1','1','HAMMAD',2022-08-23 14:37:46.867000,'RAHIL 1KG=6 BAGS ,3KG=19 BAGS & TRAIN 5KG =21 BAGS','LES-5435 (SHAHZAD)',2378,'LAHORE','01','400001','PURCHASE A/C'
12379,2022-08-23 00:00,'200089','V','AL HASNAIN PAPER & BOARD MILL GUJRANWALA',,'GUJRANWALA',0,946404,'1','1','HAMMAD',2022-08-23 15:04:11.549000,'12 REELS',,2379,'GUJRANWALA','01','400001','PURCHASE A/C'
12380,2022-08-23 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,42500,'1','1','Waqas',2022-08-23 15:25:18.333000,'100*50KGS BAGS','AL-0201 (ZAMAN)',2380,'DINGA','01','400001','PURCHASE A/C'
12381,2022-08-23 00:00,'100007','V','FIRDOUS TRADERS','GHALLAH MANDI','LALAMUSA',945.99,.01,'1','1','HAMMAD',2022-08-23 18:55:30.545000,,'LET-1222 (FARHAN)',2381,,'01','400001','PURCHASE A/C'
12382,2022-08-23 00:00,'200089','V','AL HASNAIN PAPER & BOARD MILL GUJRANWALA',,'GUJRANWALA',0,935732,'1','1','HAMMAD',2022-08-23 19:01:39.804000,'15 REELS','LES-1743 (TAHIR)',2382,'GUJRANWALA','01','400001','PURCHASE A/C'
12383,2022-08-23 00:00,'200089','V','AL HASNAIN PAPER & BOARD MILL GUJRANWALA',,'GUJRANWALA',0,978788,'1','1','HAMMAD',2022-08-23 19:04:59.803000,'14 REELS','LES-3108 (NOMAN)',2383,'GUJRANWALA','01','400001','PURCHASE A/C'
12384,2022-08-23 00:00,'200024','V','PEARL GAS (PRIVATE) LIMITED','16-A FIRST FLOOR, SADIQ PLAZA SHARA-E-QUAID E AZAM LAHORE','LAHORE',0,304093,'1','1','Waqas',2022-08-23 19:28:47.437000,,'TMK-028 (AKHTAR)',2384,'LAHORE','01','400001','PURCHASE A/C'
12385,2022-08-23 00:00,'200007','V','FAZAL QADIR MARBLE INDUSTRY','OPP. KUND PARK G.T.ROAD KHAIRAABAD ','NOWSHERA, KPK',0,84000,'1','1','HAMMAD',2022-08-24 08:51:07.457000,,'RIF-3395 (SAJJAD HUSSAIN)',2385,'NOWSHERA, KPK','01','400001','PURCHASE A/C'
12387,2022-08-24 00:00,'200175','V','IMICO PVT LTD','KOT LAKHPAT LAHORE','LAHORE',0,362880,'1','1','HAMMAD',2022-08-24 12:33:49.739000,,'LET-4538 (ASAD SHAH)',2387,'LAHORE','01','400001','PURCHASE A/C'
12388,2022-08-24 00:00,'200025','V','INSAAF FOODS','KOLIYAN ROAD DINGA','DINGA',0,87975,'1','1','Waqas',2022-08-24 14:29:08.227000,'207*50KGS BAGS','XB-021 (M.MOHSIN)',2388,'DINGA','01','400001','PURCHASE A/C'
12389,2022-08-24 00:00,'200176','V','PAK MINERALS INTERNATIONAL','FEROZEPUR ROAD CHUNGI AMER SADHU DEFENCE ROAD LAHORE','LAHORE',0,95000,'1','1','Waqas',2022-08-24 18:33:33.920000,'200*50KG BAGS','JU-0944 (IMRAN)',2389,'LAHORE','01','400001','PURCHASE A/C'
12390,2022-08-24 00:00,'200176','V','PAK MINERALS INTERNATIONAL','FEROZEPUR ROAD CHUNGI AMER SADHU DEFENCE ROAD LAHORE','LAHORE',0,76000,'1','1','Waqas',2022-08-24 19:01:02.094000,'160*50KGS BAGS','C-1701 (KHALIL)',2390,'LAHORE','01','400001','PURCHASE A/C'
