'DT3002','DETERGENT  7A.D',1,'SF0001','BASE POWDER PLANT 26A.D',.278,'S','-1',0,1
'DT3002','DETERGENT  7A.D',2,'RM0007','SALT GRANUELS',.536,'M','-1',11.7,1
'DT3002','DETERGENT  7A.D',3,'RM00192','SPECKLES RED',.004,'M','-1',112,1
'DT3002','DETERGENT  7A.D',4,'RM00193','SPECKLES BLUE',.004,'M','-1',112,1
'DT3002','DETERGENT  7A.D',5,'RM00191','SPECKLES GREEN',.004,'M','-1',112,1
'DT3002','DETERGENT  7A.D',6,'RM0013','SODIUM SULPHATE ANHYDROUS',.032,'M','-1',45,1
'DT3002','DETERGENT  7A.D',7,'RM0015','CALCIUM CARBONATE (PCC)',.028,'M','-1',62,1
'DT3002','DETERGENT  7A.D',8,'RM0033','STPP',.016,'M','-1',110,1
'DT3002','DETERGENT  7A.D',9,'RM128','FRAGNANCE ',.001,'M','-1',.01,1
'DT3002','DETERGENT  7A.D',10,'RM0002','SODA ASH',.095,'M','-1',112.69,1
'DT3002','DETERGENT  7A.D',11,'RM0030','SLES',.004,'M','-1',342.45,1
'DT3002','DETERGENT  7A.D',9998,,'Direct Labour',1,'D','-1',0,1
'DT3002','DETERGENT  7A.D',9999,,'FactoryOH',1,'H','-1',0,1
